name,group
US-AR1,GRA
US-AR2,GRA
US-ARb,GRA
US-ARc,GRA
US-ARM,CRO
US-Aud,GRA
US-Bar,DBF
US-Bi1,CRO
US-Bi2,CRO
US-Bkg,GRA
US-Blk,ENF
US-Blo,ENF
US-Bo1,CRO
US-Bo2,CRO
US-Br1,CRO
US-Br3,CRO
US-CaV,GRA
US-Ced,CSH
US-ChR,DBF
US-CPk,ENF
US-Ctn,GRA
US-CZ2,ENF
US-CZ3,ENF
US-CZ4,ENF
US-Dix,MF
US-Dk1,GRA
US-Dk2,DBF
US-Dk3,ENF
US-Fmf,ENF
US-FPe,GRA
US-FR2,WSA
US-FR3,CSH
US-Fuf,ENF
US-Fwf,GRA
US-GBT,ENF
US-GLE,ENF
US-GMF,MF
US-Goo,GRA
US-Ha2,ENF
US-Ho1,ENF
US-Ho2,ENF
US-IB1,CRO
US-IB2,GRA
US-KFS,GRA
US-KLS,GRA
US-Kon,GRA
US-KS2,CSH
US-KUT,GRA
US-Me2,ENF
US-Me3,ENF
US-Me5,ENF
US-MOz,DBF
US-Mpj,WSA
US-MRf,ENF
US-NC2,ENF
US-NC3,ENF
US-NR1,ENF
US-Oho,DBF
US-RC1,CRO
US-RC2,CRO
US-RC3,CRO
US-RC4,CRO
US-RC5,CRO
US-RIs,CSH
US-Rms,CSH
US-Ro1,CRO
US-Ro3,CRO
US-Ro4,GRA
US-Rws,OSH
US-SCf,MF
US-SCg,GRA
US-SCs,OSH
US-SCw,OSH
US-Seg,GRA
US-Ses,OSH
US-SFP,CRO
US-Skr,EBF
US-Slt,DBF
US-Snd,GRA
US-Sne,GRA
US-SO2,CSH
US-SO3,CSH
US-SO4,CSH
US-SP1,ENF
US-SP2,ENF
US-SP3,ENF
US-SRC,MF
US-SRG,GRA
US-SRM,WSA
US-Sta,OSH
US-Syv,MF
US-Ton,WSA
US-Tw3,CRO
US-Twt,CRO
US-UMB,DBF
US-UMd,DBF
US-Var,GRA
US-Vcm,ENF
US-WBW,DBF
US-WCr,DBF
US-Wdn,OSH
US-Whs,OSH
US-Wi4,ENF
US-Wjs,SAV
US-Wkg,GRA
US-Wlr,GRA
US-Wrc,ENF
US-Ne1,CRO
US-Ne2,CRO
US-Ne3,CRO
