like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.646,10.03,-7.78,562.5,2330.0,0.02815,0.05664,0.009865,77.0,100.9,0.0
-3.518,8.48,-7.02,1310.0,4624.0,0.0824,0.006783,0.005,60.38,146.9,1.0
-3.168,8.49,-6.766,1253.0,5376.0,0.04562,0.0693,0.00994,85.8,20.86,2.0
-1.635,8.48,-6.164,1445.0,4100.0,0.01354,0.09924,0.006916,40.97,30.73,3.0
-4.266,8.984,-7.062,1437.0,4400.0,0.0806,0.02956,0.006645,17.88,114.8,4.0
-4.668,11.125,-6.996,841.5,1653.0,0.11633,0.0349,0.01254,34.44,104.94,0.0
-3.047,9.19,-7.73,777.5,2618.0,0.0825,0.04907,0.002522,83.0,66.1,1.0
-0.986,10.586,-6.867,1367.0,2946.0,0.01276,0.01979,0.002102,31.25,135.9,2.0
-1.708,10.914,-7.297,593.5,5068.0,0.03183,0.01721,0.00428,14.67,113.5,3.0
-3.256,11.375,-6.31,608.5,1998.0,0.07623,0.07245,0.00343,95.94,121.94,4.0
-1.619,10.836,-6.246,406.2,2192.0,0.0587,0.01569,0.002592,68.56,95.6,0.0
-4.797,8.41,-7.836,518.5,3952.0,0.09717,0.00883,0.011795,23.44,126.2,1.0
-3.482,8.16,-6.363,1098.0,3456.0,0.05548,0.0624,0.01007,74.2,112.94,2.0
-5.875,10.305,-7.625,722.0,3770.0,0.0976,0.11176,0.00766,27.44,142.8,3.0
-1.973,8.12,-6.055,447.2,3922.0,0.03284,0.05966,0.00372,21.44,28.52,4.0
-1.689,9.234,-7.81,1034.0,4228.0,0.02586,0.02457,0.008736,74.4,36.66,0.0
-1.551,9.84,-6.63,682.5,4676.0,0.02312,0.01526,0.011345,21.34,42.44,1.0
-4.645,10.21,-6.336,567.5,4092.0,0.09796,0.03029,0.006386,34.72,135.0,2.0
-1.7705,9.77,-7.5,936.5,2396.0,0.04187,0.02133,0.004402,65.75,39.2,3.0
-6.64,8.805,-7.08,337.5,5904.0,0.1093,0.0791,0.00977,79.2,45.88,4.0
-1.168,10.91,-6.96,1208.0,3076.0,0.01403,0.039,0.005043,47.22,72.06,0.0
-2.527,10.914,-6.44,633.5,5770.0,0.04416,0.01949,0.00862,41.4,50.12,1.0
-2.664,9.305,-7.164,381.8,4330.0,0.0399,0.06696,0.01128,56.2,142.9,2.0
-6.055,10.99,-7.434,576.0,3860.0,0.1092,0.07556,0.00746,12.34,67.6,3.0
-3.383,9.31,-6.293,622.5,5856.0,0.0588,0.01878,0.0114,29.95,41.78,4.0
-1.151,10.69,-7.414,950.0,4588.0,0.01694,0.03137,0.001941,54.53,98.8,0.0
-6.266,11.15,-7.684,1042.0,5580.0,0.0973,0.0867,0.01065,48.0,75.44,1.0
-5.22,12.13,-7.78,600.0,5972.0,0.0811,0.07544,0.01008,16.94,125.3,2.0
-1.127,11.664,-6.895,760.0,3268.0,0.01462,0.01343,0.00317,67.6,37.84,3.0
-5.246,8.984,-6.76,1444.0,5830.0,0.08765,0.042,0.01001,94.8,83.4,4.0
-4.023,10.06,-7.57,817.0,3312.0,0.0792,0.0663,0.004738,102.9,92.06,0.0
-3.785,12.195,-7.05,1462.0,2476.0,0.0803,0.0705,0.003439,42.06,48.8,1.0
-7.684,11.31,-6.34,585.5,5176.0,0.11847,0.1176,0.01198,65.2,61.88,2.0
-5.69,12.32,-7.164,344.8,3186.0,0.117,0.10126,0.005188,48.06,35.94,3.0
-3.365,8.06,-6.934,1409.0,4164.0,0.0498,0.092,0.007603,32.4,27.23,4.0
-4.844,10.445,-7.43,591.0,5544.0,0.073,0.0821,0.01065,13.49,116.4,0.0
-2.588,10.72,-6.957,582.5,5500.0,0.04034,0.0848,0.005383,48.06,143.5,1.0
-2.664,10.07,-7.695,732.0,3784.0,0.0559,0.08606,0.001908,42.56,64.56,2.0
-3.932,10.24,-7.043,345.0,3168.0,0.0956,0.01382,0.00808,70.25,79.4,3.0
