like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.3955,11.89,-7.812,566.0,2596.0,0.0662,0.0269,0.001358,79.2,87.5,0.0
-1.397,11.98,-7.53,1260.0,4844.0,0.03105,0.03067,0.00816,62.2,63.53,1.0
-2.719,12.305,-6.387,360.2,5280.0,0.0887,0.10986,0.003033,93.5,148.2,2.0
-1.322,10.766,-7.47,416.8,2138.0,0.03113,0.02571,0.01193,77.7,52.1,3.0
-1.806,11.77,-7.55,747.0,1742.0,0.081,0.03342,0.002445,25.02,101.44,4.0
-1.363,10.695,-7.402,851.0,3394.0,0.05768,0.01996,0.002611,75.3,130.9,0.0
-1.6875,10.62,-7.305,470.2,3508.0,0.03845,0.08,0.009926,22.97,39.1,1.0
-4.574,11.04,-6.273,1433.0,5484.0,0.11163,0.0753,0.01041,20.77,66.3,2.0
-2.459,11.34,-6.633,728.5,2852.0,0.06934,0.1038,0.006733,48.22,62.3,3.0
-3.121,10.53,-7.54,1008.5,6190.0,0.07745,0.07104,0.007225,10.17,141.8,4.0
-2.627,9.39,-6.75,574.5,1731.0,0.07745,0.0944,0.01264,23.69,41.06,0.0
-1.005,10.45,-6.492,1253.0,5844.0,0.02353,0.03119,0.002344,80.2,124.0,1.0
-1.652,11.875,-6.96,1250.0,6412.0,0.04028,0.02155,0.00694,18.4,73.1,2.0
-1.021,8.75,-7.836,439.8,5890.0,0.03038,0.0181,0.00216,67.0,115.2,3.0
-3.12,9.52,-6.703,759.5,5572.0,0.1073,0.0083,0.006485,96.7,71.06,4.0
-1.6875,9.39,-6.664,747.5,3394.0,0.04147,0.04788,0.00982,58.34,69.56,0.0
-15460.0,10.195,-6.09,1269.0,5790.0,0.005615,0.063,0.01135,20.66,125.94,1.0
-2.275,11.18,-6.145,1123.0,3176.0,0.0844,0.04483,0.003738,69.94,66.3,2.0
-2.318,11.21,-7.934,1241.0,3018.0,0.0682,0.0546,0.006126,65.94,54.16,3.0
-3.205,11.69,-7.305,731.0,3264.0,0.10803,0.011475,0.01166,46.06,95.4,4.0
-1.812,10.75,-6.902,1378.0,5690.0,0.04218,0.02902,0.0087,42.6,102.06,0.0
-3.926,8.48,-7.055,1351.0,3032.0,0.10223,0.08185,0.012596,75.7,146.5,1.0
-13.086,9.38,-6.805,1302.0,6124.0,0.00902,0.0839,0.0042,62.8,40.5,2.0
-2.158,10.234,-6.92,1123.0,1753.0,0.1144,0.02875,0.003345,18.53,98.44,3.0
-3.682,9.78,-7.496,820.0,4054.0,0.10077,0.10187,0.007374,42.5,54.16,4.0
-5.473,8.91,-6.75,701.0,3308.0,0.0098,0.01022,0.00968,55.5,60.0,0.0
-2.422,12.14,-7.58,1279.0,5460.0,0.06247,0.06903,0.005276,26.98,86.4,1.0
-2.361,8.41,-6.0,1321.0,6016.0,0.1166,0.03537,0.002014,45.44,140.0,2.0
-3.719,8.99,-7.906,666.5,6000.0,0.0886,0.07794,0.009995,46.97,36.44,3.0
-2.111,12.42,-7.836,459.8,5692.0,0.0502,0.0374,0.008965,62.78,20.7,4.0
-1.349,11.05,-7.902,738.0,4244.0,0.01226,0.11273,0.00626,76.1,89.06,0.0
-327.2,8.445,-6.43,1441.0,3210.0,0.007217,0.0945,0.009125,37.1,133.8,1.0
-3.291,9.09,-6.27,454.5,5388.0,0.0968,0.04425,0.00681,39.7,36.75,2.0
-2.666,11.31,-7.715,453.2,5524.0,0.07184,0.10315,0.004845,97.0,32.62,3.0
-3.908,8.445,-7.645,829.0,5384.0,0.11395,0.05994,0.006706,25.0,122.06,4.0
-3.451,10.11,-6.695,788.5,2928.0,0.10504,0.04843,0.01135,78.56,45.12,0.0
-1.727,8.98,-6.582,482.8,4452.0,0.04822,0.10956,0.003286,38.88,130.9,1.0
-1.481,11.55,-7.324,614.5,2946.0,0.07605,0.02917,0.001608,100.1,30.4,2.0
-1.828,8.19,-6.676,1027.0,4692.0,0.039,0.07605,0.01073,82.3,60.53,3.0
-62.53,10.836,-6.223,1293.0,2872.0,0.007835,0.0512,0.00552,71.7,71.94,4.0
-1.099,11.06,-6.69,853.5,5016.0,0.03134,0.03815,0.001575,59.88,33.44,0.0
-2.498,8.42,-7.75,695.5,3540.0,0.1066,0.03342,0.004128,85.9,132.6,1.0
-2.455,8.97,-6.61,1431.0,5790.0,0.07904,0.009254,0.005413,30.8,86.94,2.0
-4.28,9.96,-6.85,467.8,5940.0,0.0987,0.09875,0.012115,62.25,21.98,3.0
-2.61,8.73,-6.188,958.0,6252.0,0.0574,0.1093,0.00861,22.44,66.7,4.0
-2.068,12.25,-7.066,660.5,5010.0,0.05795,0.03232,0.006065,92.7,76.75,0.0
-1.626,12.23,-7.473,928.0,5704.0,0.0355,0.0952,0.00665,39.3,137.9,1.0
-1.607,10.22,-7.812,1358.0,1895.0,0.0339,0.0985,0.01263,21.67,89.5,2.0
-1.298,10.266,-6.13,1087.0,4784.0,0.06024,0.02374,0.00134,47.12,23.72,3.0
