like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-inf,11.63,-7.457,664.5,3154.0,0.00528,0.01991,0.002184,17.81,103.2,0.0
-2.277,8.266,-6.566,688.5,1489.0,0.05704,0.01845,0.007515,77.44,20.27,1.0
-2.67,11.414,-6.887,1211.0,1545.0,0.06757,0.03836,0.00699,55.9,36.16,2.0
-3.65,12.14,-7.01,889.5,5336.0,0.0992,0.02106,0.00899,51.8,32.7,3.0
-4.555,10.05,-7.586,948.0,4732.0,0.0981,0.1001,0.01084,95.5,109.94,4.0
-2.47,8.6,-6.832,1495.0,5700.0,0.0669,0.0804,0.002203,17.9,28.5,0.0
-3.744,8.71,-6.145,455.0,2838.0,0.1105,0.0345,0.01242,76.06,145.2,1.0
-1.183,12.44,-7.383,930.0,5200.0,0.0165,0.0389,0.007713,89.94,62.28,2.0
-1.752,8.086,-7.96,507.0,2792.0,0.0468,0.02336,0.002472,103.2,20.92,3.0
-1.524,8.414,-6.234,684.5,2552.0,0.0213,0.0427,0.009766,14.27,120.94,4.0
-2.738,11.68,-7.152,439.0,3798.0,0.08545,0.02637,0.006622,38.2,78.8,0.0
-493.0,12.414,-6.88,1265.0,2106.0,0.00685,0.1175,0.01276,78.7,37.72,1.0
-2.736,12.17,-6.875,806.0,5710.0,0.06052,0.06396,0.00837,10.29,95.56,2.0
-1.727,11.305,-7.516,378.5,2834.0,0.0396,0.03418,0.00802,97.0,66.5,3.0
-2.803,12.45,-6.676,607.0,2462.0,0.06866,0.0834,0.00742,82.56,95.44,4.0
-3.598,9.36,-6.902,1467.0,2500.0,0.1087,0.06287,0.004395,49.22,144.1,0.0
-2.08,9.34,-7.97,1089.0,2838.0,0.05444,0.03726,0.005493,57.2,80.44,1.0
-1.292,8.11,-7.047,1093.0,4120.0,0.02817,0.013725,0.003016,47.7,97.5,2.0
-4.223,8.62,-6.72,1405.0,4870.0,0.1133,0.00673,0.01193,84.6,114.3,3.0
-2.28,10.81,-6.805,1401.0,1937.0,0.05374,0.02432,0.012726,58.97,43.3,4.0
-1.417,10.64,-7.55,944.0,4030.0,0.02548,0.09125,0.00941,39.4,147.8,0.0
-1.685,11.62,-7.31,349.2,2744.0,0.03238,0.05975,0.007584,77.6,95.94,1.0
-1.449,10.23,-6.07,395.0,4026.0,0.02962,0.04373,0.00891,51.72,93.94,2.0
-3.291,11.2,-7.625,1008.5,4844.0,0.0815,0.04962,0.007435,63.62,87.3,3.0
-2.771,9.89,-7.734,478.2,6228.0,0.0686,0.0712,0.0048,47.78,75.75,4.0
