like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.576,11.19,-6.02,334.0,3578.0,0.01787,0.0802,0.005165,22.92,45.56,0.0
-2.02,9.94,-7.938,1408.0,5024.0,0.02777,0.07336,0.01069,48.38,71.0,1.0
-1.246,10.77,-7.074,589.5,2488.0,0.02362,0.02747,0.004833,77.1,121.25,2.0
-2.629,12.14,-7.543,1252.0,5864.0,0.0409,0.007084,0.00818,41.62,54.34,3.0
-2.775,10.12,-7.082,476.2,6260.0,0.05194,0.009705,0.005047,27.86,124.1,4.0
-1.7,9.89,-7.43,1479.0,5960.0,0.02126,0.1134,0.0121,22.67,91.0,0.0
-1.087,9.375,-7.582,1136.0,2752.0,0.01677,0.0367,0.002293,75.94,63.7,1.0
-5.06,10.25,-6.254,516.0,5988.0,0.10034,0.03625,0.00787,88.44,108.0,2.0
-3.594,9.75,-7.04,1174.0,5120.0,0.09296,0.11865,0.003378,90.1,60.4,3.0
-2.078,10.8,-6.566,1287.0,3820.0,0.033,0.03467,0.005978,10.83,66.5,4.0
-2.836,11.61,-7.062,1001.0,5364.0,0.0445,0.0396,0.009315,38.4,111.5,0.0
-2.11,11.016,-7.47,444.8,4588.0,0.03026,0.04657,0.01116,32.88,146.9,1.0
-1.1,10.23,-6.59,359.2,1686.0,0.02527,0.09503,0.0087,97.4,106.5,2.0
-4212.0,10.78,-6.773,1353.0,6292.0,0.006546,0.04376,0.003038,45.3,47.03,3.0
-1.433,8.3,-7.29,332.8,2792.0,0.02422,0.10443,0.005894,61.4,104.1,4.0
-4.047,10.94,-7.63,1164.0,2932.0,0.0717,0.02089,0.01162,16.27,130.4,0.0
-3.914,11.43,-7.28,478.2,3164.0,0.0896,0.1127,0.00738,93.25,101.6,1.0
-5.52,9.13,-6.35,792.0,5700.0,0.11945,0.0385,0.006798,67.7,53.4,2.0
-3.293,9.305,-6.42,1369.0,5760.0,0.06616,0.04105,0.004387,62.06,125.8,3.0
-1.581,11.15,-7.723,1238.0,3822.0,0.01469,0.02551,0.010956,59.9,60.94,4.0
-3.717,10.45,-6.957,1440.0,6196.0,0.08545,0.04453,0.00376,86.8,32.97,0.0
-3.074,8.41,-6.805,818.5,4588.0,0.05334,0.08844,0.00726,41.9,118.7,1.0
-1.517,11.38,-7.4,1349.0,3606.0,0.01714,0.0776,0.00922,71.3,60.38,2.0
-4.496,8.01,-6.105,769.5,4336.0,0.1053,0.07446,0.00553,79.0,134.8,3.0
-3.406,8.76,-7.41,879.5,3362.0,0.05515,0.10175,0.01296,59.28,50.56,4.0
-3.203,9.164,-7.355,609.5,3530.0,0.10394,0.10547,0.00352,92.2,93.06,0.0
-4.875,10.17,-6.484,1169.0,3816.0,0.0846,0.02512,0.01181,27.2,138.2,1.0
-2.545,9.36,-7.71,1378.0,1590.0,0.09546,0.006542,0.006756,92.25,79.06,2.0
-1.631,8.64,-6.79,354.0,4136.0,0.06854,0.0757,0.00164,14.125,91.1,3.0
-1.706,8.055,-7.1,505.5,1464.0,0.07874,0.01762,0.00998,78.44,48.2,4.0
-3.963,9.78,-6.49,970.0,5484.0,0.0723,0.03543,0.007336,85.3,120.4,0.0
-0.887,9.0,-6.332,756.0,2154.0,0.02104,0.05356,0.002188,93.8,62.84,1.0
-2.203,11.96,-6.023,1234.0,3984.0,0.0349,0.1157,0.00669,38.78,149.0,2.0
-3.52,10.766,-7.68,514.5,3328.0,0.0635,0.0752,0.0104,75.4,74.94,3.0
-2.22,9.05,-7.082,810.5,5620.0,0.04013,0.03177,0.004177,10.305,88.75,4.0
-56960.0,9.21,-7.49,952.0,3322.0,0.005764,0.07275,0.003756,46.44,47.7,0.0
-2.174,12.48,-6.742,1203.0,2180.0,0.08496,0.01692,0.003376,55.1,97.8,1.0
-3.734,11.414,-7.82,510.5,2830.0,0.07245,0.0218,0.01181,93.44,127.6,2.0
-6.176,11.375,-7.535,907.0,5988.0,0.1126,0.01466,0.0113,15.66,136.4,3.0
-4.848,9.77,-7.316,884.5,5412.0,0.1016,0.04193,0.006416,100.2,87.3,4.0
-1.672,12.03,-7.105,336.2,6104.0,0.07263,0.0739,0.001356,85.2,45.9,0.0
-3.16,8.19,-7.293,1086.0,5870.0,0.05005,0.10706,0.00949,65.5,148.8,1.0
-4.86,8.28,-7.12,1082.0,2978.0,0.1179,0.1058,0.00675,37.56,61.62,2.0
-1.436,10.625,-7.5,727.5,4590.0,0.01648,0.01637,0.00754,87.06,65.06,3.0
-3.777,8.234,-6.664,1288.0,2950.0,0.0633,0.10114,0.01227,69.5,135.4,4.0
-1.032,9.2,-6.76,1043.0,2402.0,0.0163,0.05103,0.003107,95.7,106.06,0.0
-2.193,10.875,-7.457,665.0,2054.0,0.06396,0.04987,0.00797,74.6,128.9,1.0
-1.6,11.78,-6.953,1193.0,6084.0,0.02193,0.02612,0.006176,38.75,137.9,2.0
-2.355,8.12,-6.72,369.5,5830.0,0.03964,0.0792,0.005856,39.53,144.9,3.0
-5.414,10.81,-7.242,1216.0,4668.0,0.09985,0.10754,0.009575,90.44,80.8,4.0
-2.934,8.47,-6.035,1314.0,4948.0,0.04504,0.1022,0.00977,73.5,20.22,0.0
-3.01,8.58,-6.52,514.0,1994.0,0.0925,0.1117,0.011734,76.7,57.7,1.0
-2.78,9.42,-6.113,596.5,6064.0,0.04126,0.0978,0.012825,98.7,134.6,2.0
-1.536,11.99,-7.19,1399.0,3674.0,0.02061,0.1171,0.00639,87.5,88.2,3.0
-1.374,8.27,-6.355,1127.0,2772.0,0.01718,0.1127,0.006298,30.03,86.1,4.0
-15.195,9.25,-6.746,780.0,3976.0,0.00886,0.04263,0.01187,65.94,143.2,0.0
-1.794,9.875,-7.15,1432.0,3734.0,0.0247,0.09,0.00853,43.38,80.3,1.0
-2.5,10.484,-6.074,853.0,2710.0,0.05316,0.0305,0.006184,39.5,79.75,2.0
-5.86,8.06,-7.082,833.0,5092.0,0.11255,0.0796,0.00961,60.34,78.8,3.0
-1.767,10.086,-7.2,1277.0,5540.0,0.03348,0.0946,0.00267,40.1,59.16,4.0
-0.9805,10.43,-6.83,681.5,2332.0,0.013756,0.00895,0.002348,62.47,130.5,0.0
-3.34,8.664,-7.715,580.0,4440.0,0.0767,0.06058,0.004543,47.72,50.94,1.0
-2.629,9.01,-7.684,1483.0,3490.0,0.075,0.0497,0.002445,43.47,66.56,2.0
-2.627,10.94,-6.473,1174.0,3870.0,0.0636,0.1192,0.003109,82.3,29.69,3.0
