like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-0.57,11.414,-6.543,409.8,5020.0,0.08746,0.1182,0.006145,77.7,140.6,0.0
-8.52,9.41,-7.535,862.5,3906.0,0.00973,0.0612,0.0077,76.4,22.84,1.0
-0.6367,10.3,-6.23,804.5,5644.0,0.091,0.0565,0.00341,82.6,92.0,2.0
-0.564,9.195,-7.652,647.5,3378.0,0.041,0.08307,0.01149,24.42,147.6,3.0
-0.5747,10.55,-7.047,621.0,4484.0,0.1119,0.0831,0.00813,23.58,31.61,4.0
-0.581,11.48,-6.586,591.0,4532.0,0.0437,0.1133,0.006763,94.06,137.4,0.0
-0.568,10.68,-7.74,431.0,6184.0,0.02873,0.11176,0.01034,68.7,139.0,1.0
-0.57,9.88,-7.74,1081.0,3508.0,0.10376,0.11304,0.005943,59.22,75.0,2.0
-0.794,8.77,-7.996,1197.0,5308.0,0.0401,0.01367,0.001394,38.0,60.03,3.0
-0.564,8.125,-7.316,540.0,5884.0,0.03888,0.012146,0.00847,70.0,116.25,4.0
-0.6978,10.266,-6.383,1435.0,2522.0,0.1018,0.02182,0.01137,39.03,142.5,0.0
-0.559,8.72,-6.883,879.5,5664.0,0.0873,0.0711,0.006546,27.14,27.2,1.0
-0.6216,8.45,-7.586,1327.0,2748.0,0.1177,0.1072,0.007565,95.75,77.0,2.0
-0.626,10.4,-6.977,816.5,5070.0,0.07684,0.0479,0.01098,81.8,136.4,3.0
-0.5693,8.19,-7.484,976.0,3812.0,0.0937,0.0315,0.005936,27.6,140.2,4.0
-0.5527,9.37,-6.44,801.0,4284.0,0.0748,0.04272,0.008484,64.6,41.1,0.0
-1.051,11.86,-7.457,457.8,3184.0,0.01447,0.0783,0.011345,67.75,50.78,1.0
-0.651,10.79,-6.38,842.5,3334.0,0.1011,0.0974,0.00416,97.9,53.12,2.0
-0.6777,8.945,-7.062,1292.0,3918.0,0.02888,0.06964,0.003296,88.1,41.78,3.0
-0.6445,11.33,-6.3,1417.0,3892.0,0.08374,0.0831,0.00333,63.3,89.4,4.0
-0.647,9.97,-6.3,409.2,5470.0,0.02478,0.038,0.01088,102.75,38.53,0.0
-0.6714,10.03,-7.26,695.5,2980.0,0.02484,0.0676,0.005207,19.83,126.25,1.0
-0.6187,11.74,-6.312,1243.0,3368.0,0.02191,0.0288,0.00636,51.16,132.5,2.0
-0.5864,8.08,-6.926,1364.0,5930.0,0.11847,0.01485,0.00541,78.9,96.9,3.0
-0.7925,10.3,-7.94,606.0,4570.0,0.0465,0.1046,0.001878,49.78,124.4,4.0
-0.8325,8.04,-7.2,1404.0,4524.0,0.1155,0.05338,0.012085,43.56,38.22,0.0
-0.681,8.766,-7.473,1354.0,6240.0,0.0336,0.014595,0.002777,95.56,138.2,1.0
-0.7515,11.52,-6.11,369.8,5588.0,0.02226,0.00531,0.00968,21.23,124.8,2.0
-0.676,8.77,-7.61,862.0,4936.0,0.09106,0.043,0.00295,32.8,123.25,3.0
-0.5684,10.984,-7.31,897.0,4156.0,0.0981,0.01788,0.00616,98.4,138.6,4.0
-0.572,9.8,-7.406,676.5,3508.0,0.04913,0.01248,0.00814,78.9,88.75,0.0
-0.753,12.03,-7.16,1085.0,3454.0,0.03763,0.1077,0.002474,69.44,113.1,1.0
-0.592,8.625,-7.797,1325.0,3072.0,0.0419,0.04147,0.00975,102.7,36.62,2.0
-1.673,11.484,-7.05,441.8,3384.0,0.01271,0.04416,0.00931,49.56,57.75,3.0
-0.684,8.234,-6.43,969.0,2334.0,0.0469,0.1018,0.01242,80.0,107.6,4.0
-0.557,10.34,-6.27,639.0,4300.0,0.04272,0.0749,0.01053,95.06,145.5,0.0
-0.6836,12.45,-6.184,1468.0,5280.0,0.1133,0.09924,0.00833,69.1,117.5,1.0
-0.635,10.09,-7.035,570.0,4556.0,0.08813,0.0592,0.01174,104.3,116.9,2.0
-0.58,10.96,-7.29,631.5,4058.0,0.08575,0.08386,0.01028,59.22,104.94,3.0
-0.951,10.75,-6.902,1281.0,3204.0,0.01295,0.0286,0.002972,24.55,118.9,4.0
-0.645,9.78,-6.195,538.5,4628.0,0.1004,0.0787,0.01105,25.33,130.9,0.0
-0.551,11.29,-7.73,559.0,3458.0,0.0562,0.02487,0.011375,24.6,74.0,1.0
-0.567,8.3,-7.266,530.5,4840.0,0.104,0.04138,0.005672,104.0,85.5,2.0
-655.0,11.695,-7.375,928.0,4096.0,0.006294,0.0651,0.002682,24.39,61.78,3.0
-0.7017,11.11,-7.39,1280.0,3578.0,0.1015,0.007996,0.01209,33.97,97.06,4.0
-0.8794,11.875,-6.684,1117.0,2292.0,0.0895,0.08246,0.00224,103.2,92.6,0.0
-0.6064,9.33,-7.37,878.0,6056.0,0.0416,0.00946,0.004234,66.8,51.2,1.0
-0.894,11.164,-7.51,1451.0,1552.0,0.05878,0.0745,0.01216,54.4,91.06,2.0
-0.6177,10.51,-6.965,595.0,3004.0,0.02457,0.0368,0.01095,45.66,126.56,3.0
-0.8325,12.0,-7.41,411.0,2158.0,0.04306,0.02956,0.005924,76.5,91.25,4.0
-0.588,11.734,-6.645,734.0,3468.0,0.07764,0.0385,0.01254,55.44,137.5,0.0
-0.575,9.35,-6.785,460.5,3356.0,0.05518,0.07404,0.008415,47.88,83.1,1.0
-0.6104,11.875,-7.906,1321.0,3608.0,0.03152,0.04816,0.005707,37.7,133.6,2.0
-3.77,9.46,-7.223,540.5,5536.0,0.01126,0.06494,0.00212,45.5,26.83,3.0
-0.7114,11.336,-7.547,1081.0,4132.0,0.10376,0.07367,0.002394,67.0,21.83,4.0
-0.657,8.695,-7.074,608.0,2746.0,0.09467,0.0742,0.006332,81.1,47.34,0.0
-0.671,8.95,-6.766,366.5,4176.0,0.107,0.09076,0.003624,64.1,124.2,1.0
-0.676,9.62,-7.945,1326.0,5136.0,0.02808,0.0627,0.002634,24.72,59.7,2.0
-0.5615,8.99,-7.344,1014.5,5376.0,0.07855,0.04135,0.00616,54.03,79.2,3.0
-0.7476,10.69,-6.344,781.5,3394.0,0.02559,0.0881,0.003014,75.94,42.84,4.0
-0.573,12.39,-7.008,1327.0,6470.0,0.11,0.09796,0.004696,26.73,40.75,0.0
-0.623,10.82,-7.594,542.5,5404.0,0.03958,0.0662,0.012085,81.25,25.81,1.0
-0.595,8.9,-7.535,1375.0,3616.0,0.02504,0.06665,0.007225,39.8,143.8,2.0
-90.5,9.48,-7.176,1111.0,2682.0,0.007626,0.1193,0.01225,29.89,58.22,3.0
-0.6196,10.055,-7.344,689.0,6064.0,0.06256,0.03436,0.012054,30.05,95.3,4.0
-0.6284,11.66,-7.55,994.0,2616.0,0.07465,0.095,0.00908,73.1,93.75,0.0
-0.6187,12.46,-6.37,647.5,3950.0,0.0917,0.0855,0.00435,91.06,36.2,1.0
-0.6846,8.7,-6.152,1030.0,6016.0,0.04013,0.02861,0.002516,34.38,49.72,2.0
-1.317,9.85,-6.76,442.5,6424.0,0.01929,0.05045,0.004765,12.836,53.25,3.0
-0.721,9.95,-7.625,486.8,5868.0,0.09015,0.05026,0.002474,81.7,125.4,4.0
-0.5713,9.46,-7.945,413.2,4556.0,0.0958,0.04227,0.005646,55.25,72.2,0.0
-0.708,8.37,-6.867,803.5,3676.0,0.0335,0.0634,0.003159,25.42,124.06,1.0
-0.571,8.42,-7.445,1198.0,4544.0,0.04025,0.04105,0.006992,46.84,144.0,2.0
-0.5664,11.805,-6.496,1350.0,4950.0,0.0807,0.01184,0.00539,103.0,57.5,3.0
-0.592,10.87,-7.566,1292.0,5884.0,0.05255,0.05267,0.004086,65.44,37.53,4.0
-0.5996,11.516,-7.523,896.5,5580.0,0.01944,0.10767,0.01135,82.75,100.06,0.0
-0.89,8.62,-7.797,1059.0,2236.0,0.0841,0.08514,0.002201,96.3,80.2,1.0
-0.567,9.83,-7.336,1120.0,5292.0,0.07513,0.07965,0.00602,67.94,126.8,2.0
-0.7812,9.46,-6.543,861.5,2520.0,0.1043,0.097,0.00353,95.56,41.2,3.0
-0.5815,11.81,-7.938,1064.0,5828.0,0.10474,0.03986,0.005943,16.62,117.4,4.0
-0.5728,11.89,-7.95,876.5,5772.0,0.1024,0.08276,0.005215,62.28,90.06,0.0
-0.5605,8.086,-6.902,805.0,4096.0,0.07715,0.1122,0.00858,14.55,149.5,1.0
-0.647,8.11,-6.156,1248.0,2988.0,0.0644,0.05502,0.00441,78.94,44.2,2.0
-0.5913,9.15,-6.87,1339.0,6184.0,0.06714,0.02759,0.00811,21.5,119.2,3.0
-0.832,12.39,-6.016,431.5,2276.0,0.0596,0.02853,0.004704,57.06,63.97,4.0
-19.73,12.41,-6.54,401.8,5984.0,0.00843,0.06866,0.011116,48.9,103.5,0.0
-0.728,10.58,-6.227,1257.0,4540.0,0.0419,0.005222,0.002337,89.4,123.2,1.0
-0.618,9.336,-6.086,374.5,6180.0,0.03726,0.118,0.010956,13.42,74.2,2.0
-0.6025,10.8,-6.855,947.0,3522.0,0.04285,0.1003,0.005787,31.77,70.6,3.0
-0.6626,11.0,-7.133,852.5,4164.0,0.0978,0.02824,0.01174,80.3,104.8,4.0
-0.662,11.7,-6.445,668.5,2450.0,0.1115,0.0699,0.01298,49.47,39.2,0.0
-0.64,8.81,-6.938,622.0,6344.0,0.11127,0.10315,0.008385,45.16,100.0,1.0
-0.6953,9.555,-6.277,1420.0,3724.0,0.11084,0.0485,0.0026,57.4,73.56,2.0
-0.6265,10.29,-6.527,880.0,4668.0,0.10785,0.013435,0.009186,82.0,36.1,3.0
-0.7104,11.09,-6.62,523.5,6364.0,0.0475,0.05194,0.00243,86.56,46.25,4.0
-0.603,10.08,-6.742,1270.0,5828.0,0.05377,0.08923,0.00434,31.33,145.6,0.0
-0.627,10.14,-7.4,1269.0,2896.0,0.11383,0.04074,0.00903,53.28,117.0,1.0
-0.674,9.58,-7.094,387.8,4596.0,0.1069,0.03796,0.012024,33.38,64.25,2.0
-0.561,9.72,-6.055,757.0,4930.0,0.0653,0.0708,0.00911,86.7,43.94,3.0
-0.6885,12.19,-7.824,670.5,5936.0,0.0879,0.03622,0.01169,65.44,70.25,4.0
