like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-4.832,9.38,-7.465,363.5,4236.0,0.085,0.03412,0.01082,61.03,120.25,0.0
-3.436,10.44,-7.836,1406.0,5336.0,0.0908,0.0216,0.002552,96.75,52.38,1.0
-2.213,12.4,-7.035,848.5,2754.0,0.03778,0.0796,0.003355,49.84,88.94,2.0
-3.68,10.37,-7.055,1365.0,4024.0,0.00944,0.04523,0.003841,16.88,88.5,3.0
-3.03,12.37,-7.637,625.0,3116.0,0.1114,0.04755,0.001965,30.23,92.06,4.0
-2.402,10.25,-6.73,877.0,2882.0,0.0659,0.0271,0.002285,58.2,136.0,0.0
-1.709,10.445,-7.395,538.5,3368.0,0.03424,0.0454,0.001641,68.2,145.1,1.0
-2.217,11.016,-6.652,998.5,3376.0,0.03632,0.1122,0.00238,26.78,28.84,2.0
-3.58,9.68,-6.7,914.5,1586.0,0.0787,0.0755,0.007587,52.84,75.0,3.0
-3.637,10.06,-6.406,630.5,3358.0,0.09753,0.01695,0.003881,43.16,139.5,4.0
-3.463,8.31,-6.77,1218.0,4292.0,0.051,0.07275,0.009026,30.05,62.4,0.0
-5.4,8.13,-6.996,985.0,5380.0,0.0959,0.01755,0.01091,38.44,27.9,1.0
-3.992,8.74,-6.426,888.5,3998.0,0.05838,0.1028,0.011,78.94,73.6,2.0
-3.506,9.66,-6.906,542.0,6308.0,0.08484,0.04932,0.002676,103.7,120.4,3.0
-3.951,8.93,-6.582,1070.0,3484.0,0.10596,0.0771,0.002426,82.0,143.6,4.0
-5.082,10.15,-6.215,715.5,5464.0,0.0923,0.08105,0.006435,23.55,130.1,0.0
-3.293,9.8,-6.72,1018.0,1463.0,0.09827,0.04764,0.004307,40.06,87.4,1.0
-2.047,11.33,-6.098,1417.0,2980.0,0.0271,0.06885,0.005875,94.2,73.6,2.0
-4.68,9.3,-7.785,801.0,4620.0,0.07794,0.1084,0.006878,50.44,76.25,3.0
-3.2,8.805,-6.996,368.0,5972.0,0.05197,0.01538,0.00946,17.47,99.44,4.0
-4.113,11.46,-6.965,501.8,4160.0,0.08905,0.02043,0.00555,25.08,47.75,0.0
-2.65,8.64,-6.92,1016.0,4744.0,0.06195,0.10187,0.001337,44.25,128.4,1.0
-2.582,10.29,-6.02,1019.0,1868.0,0.0408,0.0733,0.01261,55.53,133.1,2.0
-4.27,9.1,-6.41,1293.0,6230.0,0.0658,0.0757,0.00918,32.2,78.94,3.0
-5.215,11.02,-6.38,1399.0,4504.0,0.09314,0.117,0.00554,42.84,93.2,4.0
-2.621,11.66,-7.395,1354.0,3450.0,0.0393,0.02393,0.00937,19.94,109.6,0.0
-2.15,10.71,-7.164,1055.0,3844.0,0.02664,0.1135,0.007713,93.0,90.9,1.0
-4.71,9.78,-6.375,506.2,3272.0,0.0828,0.04733,0.01073,24.92,21.34,2.0
-3.742,8.89,-7.996,880.5,5884.0,0.06058,0.086,0.00575,22.88,78.1,3.0
-5.504,9.72,-7.934,1445.0,3086.0,0.09845,0.02773,0.0112,10.86,147.4,4.0
-5.977,11.6,-7.62,854.5,3696.0,0.1094,0.11945,0.007313,95.8,52.38,0.0
-5.402,9.63,-7.152,1455.0,2082.0,0.11365,0.0606,0.007763,49.5,131.8,1.0
-5.59,11.055,-7.33,1263.0,6430.0,0.1062,0.0467,0.00696,95.7,111.25,2.0
-4.348,12.34,-7.89,1200.0,1756.0,0.0821,0.0993,0.010254,25.78,109.3,3.0
-2.373,12.29,-6.742,950.5,1611.0,0.04767,0.0311,0.00859,62.2,143.5,4.0
-4.72,9.78,-7.742,624.0,1908.0,0.0942,0.1036,0.01099,22.56,23.89,0.0
-74.1,11.77,-7.457,803.0,6060.0,0.006504,0.010124,0.002184,32.16,26.94,1.0
-1.494,8.16,-6.06,677.0,2022.0,0.0266,0.03107,0.002655,30.5,50.53,2.0
-3.27,9.8,-7.793,941.5,2366.0,0.0601,0.02327,0.00998,64.25,147.4,3.0
-2.168,10.48,-6.19,826.0,3154.0,0.02829,0.1115,0.00686,26.22,90.0,4.0
-3.494,9.62,-7.047,488.8,2314.0,0.0738,0.03586,0.00802,50.78,71.6,0.0
-1.587,10.51,-6.99,967.0,1520.0,0.02069,0.03848,0.00464,26.86,40.97,1.0
-2.29,10.17,-6.383,1489.0,3500.0,0.02988,0.07996,0.00768,48.44,143.1,2.0
-6.016,9.195,-7.727,973.0,6150.0,0.1007,0.08813,0.00967,23.17,140.4,3.0
-4.32,9.14,-6.79,567.5,1976.0,0.08466,0.0702,0.012634,13.65,34.75,4.0
-2.299,10.0,-7.074,338.8,6144.0,0.02954,0.07263,0.00955,99.8,114.75,0.0
-3.498,10.22,-6.33,353.5,3074.0,0.05917,0.0878,0.00709,26.75,128.0,1.0
-3.094,12.125,-6.17,1421.0,5470.0,0.0504,0.10626,0.003649,99.0,66.4,2.0
-4.14,11.47,-7.965,423.8,2025.0,0.09216,0.11615,0.00649,15.52,88.06,3.0
-4.887,10.69,-7.562,326.0,5420.0,0.0783,0.05832,0.0127,78.25,41.72,4.0
-2.297,8.32,-6.88,392.2,6324.0,0.04422,0.0579,0.002083,35.44,143.8,0.0
-2.578,9.12,-7.73,1120.0,5590.0,0.04657,0.0185,0.003956,52.9,121.7,1.0
-2.572,11.266,-6.234,768.5,4260.0,0.0363,0.05182,0.008766,77.4,83.1,2.0
-2.664,8.94,-6.793,375.2,3784.0,0.07776,0.0743,0.001479,48.06,52.53,3.0
-1.8,11.42,-6.41,955.0,3726.0,0.02802,0.04123,0.002674,33.34,51.7,4.0
-4.094,10.555,-6.676,542.5,2250.0,0.1136,0.009834,0.00701,52.44,135.5,0.0
-3.668,9.72,-7.363,477.5,5504.0,0.09485,0.06247,0.00248,90.6,131.2,1.0
-4.547,9.805,-7.953,767.5,3792.0,0.0747,0.04913,0.01131,33.25,94.5,2.0
-2.598,12.37,-7.64,612.0,2472.0,0.04453,0.05417,0.006813,69.75,34.88,3.0
-1.863,12.22,-7.246,1018.0,1553.0,0.01941,0.10895,0.01069,64.4,27.14,4.0
-3.889,11.26,-6.08,914.0,2878.0,0.06506,0.0787,0.00815,56.62,86.0,0.0
-2.35,11.62,-7.996,1157.0,6436.0,0.04135,0.05234,0.002434,78.94,26.78,1.0
-3.816,8.64,-6.04,1441.0,1472.0,0.07495,0.09705,0.00732,30.0,85.5,2.0
-6.13,9.3,-6.902,1220.0,3244.0,0.1045,0.0644,0.01229,24.27,108.4,3.0
-2.865,11.92,-6.242,427.2,2750.0,0.05096,0.0441,0.00719,78.1,136.6,4.0
-5.637,9.61,-7.86,1224.0,2112.0,0.1065,0.1043,0.00986,40.38,126.9,0.0
-1.45,9.58,-6.84,1288.0,3788.0,0.01724,0.02121,0.002987,40.97,96.9,1.0
-2.77,10.97,-7.56,710.5,2432.0,0.06616,0.0581,0.003159,101.4,106.4,2.0
-2.754,9.82,-6.703,1344.0,6404.0,0.0508,0.01362,0.004166,94.25,89.5,3.0
-4.43,11.52,-7.504,1253.0,3420.0,0.0729,0.06714,0.00879,24.56,90.4,4.0
-1.922,8.67,-7.508,918.0,4096.0,0.01238,0.0347,0.006725,31.72,62.16,0.0
-1.521,10.984,-6.465,1230.0,1809.0,0.01347,0.07654,0.01244,15.72,101.6,1.0
-3.402,8.055,-6.453,1077.0,5776.0,0.04852,0.07947,0.00989,17.78,57.1,2.0
-6.344,10.62,-7.285,1082.0,5200.0,0.109,0.09247,0.00923,32.34,36.34,3.0
-6.215,11.73,-6.953,937.0,3078.0,0.1139,0.05835,0.01141,94.06,66.4,4.0
-2.84,10.69,-7.78,1235.0,2918.0,0.04645,0.0828,0.004623,96.5,130.0,0.0
-4.195,8.24,-7.727,1260.0,2334.0,0.0754,0.0637,0.008545,27.11,97.94,1.0
