like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.014,11.94,-7.52,732.0,2720.0,0.05368,0.0413,0.01071,97.7,42.12,0.0
-0.825,10.516,-7.715,405.8,2786.0,0.01542,0.11096,0.004673,66.25,84.06,1.0
-1.226,11.49,-6.95,584.0,2346.0,0.01796,0.02501,0.00569,22.89,27.0,2.0
-1.548,10.91,-6.75,670.0,3014.0,0.10614,0.06757,0.0106,26.3,99.7,3.0
-1.633,9.53,-7.316,1201.0,5444.0,0.08636,0.1113,0.01086,76.8,127.7,4.0
-1.155,10.19,-7.48,1479.0,2668.0,0.1026,0.03117,0.00459,29.67,145.1,0.0
-0.994,8.5,-7.77,1380.0,2658.0,0.0602,0.0709,0.00494,33.4,113.2,1.0
-1.029,9.1,-6.9,867.5,4856.0,0.01906,0.0693,0.007442,65.8,28.42,2.0
-0.69,9.016,-7.816,435.2,3268.0,0.03458,0.02939,0.00293,78.94,106.25,3.0
-1.007,8.125,-7.84,1269.0,1595.0,0.06464,0.0592,0.004208,13.35,149.1,4.0
-0.8423,8.914,-6.637,910.0,3062.0,0.03824,0.11224,0.003233,13.414,23.58,0.0
-0.826,8.97,-7.777,559.5,2620.0,0.01514,0.07446,0.007565,61.7,120.4,1.0
-1.329,11.22,-6.95,943.0,4540.0,0.0662,0.04947,0.013,50.47,50.9,2.0
-1.539,10.25,-6.746,1253.0,2180.0,0.1179,0.1018,0.007072,98.4,129.5,3.0
-1.02,8.62,-6.832,348.0,1574.0,0.0768,0.07227,0.005356,104.0,29.62,4.0
-0.7705,12.01,-6.008,632.0,4850.0,0.03656,0.0815,0.00315,18.89,30.69,0.0
-1.467,8.1,-7.215,874.0,5284.0,0.0954,0.07275,0.007675,82.0,137.1,1.0
-1.021,10.49,-6.32,1453.0,2086.0,0.08374,0.01443,0.00468,56.1,85.2,2.0
-0.6753,11.336,-7.29,1400.0,4170.0,0.02528,0.06183,0.004536,98.1,129.1,3.0
-0.771,8.36,-6.387,608.0,3934.0,0.02956,0.0987,0.00678,49.62,45.78,4.0
-0.8926,8.984,-7.24,584.0,3998.0,0.0821,0.04596,0.00298,104.56,45.9,0.0
-0.7373,9.54,-7.37,546.0,2436.0,0.02025,0.0322,0.00978,86.7,79.25,1.0
-0.7104,9.52,-6.11,1386.0,3630.0,0.01813,0.006786,0.01027,59.34,79.7,2.0
-1.386,10.7,-6.01,802.0,1598.0,0.11383,0.06046,0.01048,65.94,102.75,3.0
-0.9673,11.83,-6.984,532.0,3430.0,0.0536,0.0844,0.00718,57.75,143.9,4.0
-1.073,9.81,-6.85,1104.0,5650.0,0.0857,0.005764,0.005173,24.88,102.6,0.0
-1.1875,8.26,-7.133,479.2,4116.0,0.09,0.08386,0.005325,52.06,79.5,1.0
-0.752,11.76,-7.09,1208.0,6424.0,0.02277,0.04074,0.0092,19.83,71.06,2.0
-0.9385,11.02,-6.72,1396.0,3720.0,0.05783,0.0215,0.00595,62.16,97.75,3.0
