like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-21.97,10.43,-6.746,678.5,6080.0,0.1037,0.06946,0.001586,34.34,51.34,0.0
-15.39,11.45,-6.527,449.0,2484.0,0.05457,0.11053,0.00806,88.6,62.5,1.0
-21.34,11.56,-7.074,1259.0,2220.0,0.1119,0.0508,0.003855,69.6,51.5,2.0
-20.56,11.54,-7.492,506.8,6420.0,0.0792,0.0913,0.0127,87.9,31.3,3.0
-23.62,11.12,-7.594,1356.0,4636.0,0.0922,0.1038,0.0063,90.7,149.6,4.0
-25.33,10.07,-6.332,1003.5,4110.0,0.114,0.0771,0.004833,40.84,138.2,0.0
-11.836,11.72,-6.688,509.8,6120.0,0.04254,0.0923,0.003557,93.1,82.06,1.0
-9.92,11.016,-7.113,345.0,3944.0,0.03433,0.11304,0.002823,47.56,137.1,2.0
-25.22,8.48,-6.94,1394.0,1609.0,0.1129,0.0733,0.010475,15.34,90.3,3.0
-6.617,9.19,-7.113,547.0,5144.0,0.02283,0.0725,0.006992,38.44,88.1,4.0
-9.17,12.22,-7.76,1221.0,1834.0,0.03683,0.0429,0.004353,77.94,38.38,0.0
-11.62,11.5,-7.465,617.0,4612.0,0.05853,0.0317,0.003712,61.3,139.4,1.0
-14.695,10.94,-7.965,1393.0,4108.0,0.05368,0.10425,0.001845,76.2,28.45,2.0
-9.695,11.92,-7.86,1463.0,5036.0,0.06934,0.01787,0.002718,63.16,34.4,3.0
-18.31,10.65,-6.95,672.0,2706.0,0.0889,0.04904,0.004963,36.53,61.22,4.0
-16.06,9.78,-6.53,1356.0,2090.0,0.0604,0.08276,0.011604,96.8,149.0,0.0
-8.945,10.65,-7.637,992.5,2220.0,0.0944,0.01306,0.002438,85.9,121.06,1.0
-7.836,9.51,-6.164,787.0,1545.0,0.02818,0.0547,0.01109,22.38,27.39,2.0
-22.28,12.07,-7.863,390.0,1691.0,0.08673,0.10364,0.006226,65.1,76.06,3.0
-10.08,11.62,-7.95,328.5,3212.0,0.03754,0.0719,0.002222,21.84,132.4,4.0
-10.27,9.94,-7.797,986.0,4256.0,0.03836,0.06073,0.01035,104.25,72.0,0.0
-18.23,12.234,-6.8,670.0,1989.0,0.1181,0.0366,0.00239,44.25,140.5,1.0
-3.02,12.23,-7.47,874.0,4384.0,0.01662,0.0093,0.004692,37.72,129.2,2.0
-18.55,10.01,-6.91,941.5,2470.0,0.0669,0.1161,0.00731,75.1,141.6,3.0
-15.62,11.6,-7.137,790.5,1791.0,0.06085,0.07275,0.007076,100.56,81.1,4.0
-5.395,9.49,-7.344,1385.0,1699.0,0.01892,0.06696,0.006763,47.06,147.6,0.0
-13.055,9.03,-6.152,581.0,5604.0,0.07275,0.02829,0.009766,83.0,80.44,1.0
-29.02,10.16,-7.56,595.5,5080.0,0.1187,0.107,0.00535,14.38,47.16,2.0
-12.25,10.61,-6.79,1100.0,5060.0,0.08636,0.02048,0.00972,67.3,106.2,3.0
-8.18,8.5,-7.42,621.0,4524.0,0.02766,0.09576,0.00712,27.19,106.8,4.0
