like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-7.742,10.08,-6.324,686.0,3528.0,0.11383,0.108,0.01108,22.55,133.1,0.0
-1.281,10.73,-6.246,1034.0,4196.0,0.01653,0.03064,0.007042,95.3,112.8,1.0
-1.944,12.23,-6.168,1052.0,4676.0,0.02385,0.0743,0.00571,82.06,43.44,2.0
-5.246,9.25,-7.27,648.5,3606.0,0.1038,0.08405,0.001699,75.56,67.9,3.0
-3.186,8.82,-7.58,1463.0,4190.0,0.06012,0.02287,0.00759,44.0,26.08,4.0
-4.293,12.07,-7.0,1382.0,2458.0,0.0974,0.01854,0.01159,50.78,69.2,0.0
-2.64,9.09,-6.75,928.0,4332.0,0.03056,0.0991,0.01254,46.84,25.77,1.0
-2.443,9.72,-7.137,1283.0,4510.0,0.03528,0.05658,0.005367,13.75,92.2,2.0
-1.673,8.05,-7.05,1488.0,6036.0,0.0209,0.06113,0.007057,92.56,79.3,3.0
-3.273,11.51,-7.05,916.5,2834.0,0.04166,0.08954,0.01277,80.44,29.0,4.0
-7.29,11.516,-7.01,1374.0,2996.0,0.1196,0.08295,0.00795,75.1,110.44,0.0
-5.273,8.85,-6.16,1318.0,5970.0,0.1164,0.01825,0.01218,61.75,71.3,1.0
-6.98,9.63,-7.957,1047.0,1698.0,0.1169,0.0987,0.00651,67.94,99.06,2.0
-6.832,10.85,-7.953,573.5,6256.0,0.1145,0.06204,0.01054,65.94,145.0,3.0
-2.168,9.66,-6.934,732.0,4884.0,0.02914,0.1178,0.002579,29.61,141.8,4.0
-1.474,10.25,-6.168,624.5,6212.0,0.02448,0.02737,0.002815,104.8,125.7,0.0
-1.771,8.43,-6.82,637.5,4250.0,0.01762,0.02264,0.006985,20.39,26.17,1.0
-3.098,12.016,-6.348,820.0,5508.0,0.08307,0.02762,0.002047,71.75,119.4,2.0
-4.844,11.87,-7.754,743.5,2104.0,0.07886,0.0607,0.010666,92.5,57.78,3.0
-1.463,11.77,-6.945,1107.0,2764.0,0.01215,0.0564,0.002106,68.44,53.4,4.0
-1.471,11.64,-7.92,1407.0,6030.0,0.0164,0.02394,0.003336,33.03,38.72,0.0
-2.02,9.01,-7.73,852.0,3194.0,0.0232,0.10315,0.008644,97.25,36.1,1.0
-5.77,12.38,-6.773,1257.0,2258.0,0.0922,0.08655,0.006,77.2,123.1,2.0
-2.316,11.11,-6.11,356.8,1474.0,0.03857,0.03195,0.006077,100.9,20.83,3.0
-5.07,9.66,-7.598,1258.0,2074.0,0.08356,0.0603,0.008896,21.4,75.9,4.0
-6.1,9.54,-7.758,845.5,1964.0,0.11487,0.0698,0.005497,67.2,53.4,0.0
-2.578,9.81,-6.633,988.5,1862.0,0.0355,0.06964,0.00988,61.97,83.25,1.0
-6.574,11.07,-6.496,655.0,3982.0,0.11914,0.0834,0.004044,74.6,89.4,2.0
-6.562,9.83,-6.652,938.0,2436.0,0.11847,0.1154,0.002258,69.0,99.0,3.0
-2.584,8.68,-6.723,543.5,3428.0,0.04126,0.03326,0.0108,27.9,102.7,4.0
-7.28,10.94,-7.152,1113.0,5090.0,0.11017,0.0849,0.00963,81.9,22.17,0.0
-3.992,11.87,-6.496,494.5,2142.0,0.071,0.06354,0.00415,74.4,134.8,1.0
-4.61,8.8,-7.95,1022.5,2762.0,0.0676,0.11816,0.003536,91.75,67.5,2.0
-4.934,8.06,-7.707,550.5,4520.0,0.0667,0.1003,0.011345,81.8,127.06,3.0
-5.88,12.195,-6.668,1247.0,2884.0,0.0993,0.05545,0.011246,58.5,141.2,4.0
-6.12,8.016,-6.43,533.0,6464.0,0.08923,0.08984,0.00959,92.8,148.4,0.0
-3.01,8.29,-6.09,718.0,4880.0,0.0447,0.04272,0.010284,84.8,32.84,1.0
