like1,partmin_open,partmin_close,parvpd_open,parvpd_close,pargl_sh,pargl_e_wv,parCl,parrbl_min,parrbl_max,chain
-1.083,10.14,-7.71,696.0,5244.0,0.02177,0.04874,0.00537,98.3,50.47,0.0
-2.152,9.05,-7.12,414.2,5052.0,0.10583,0.05576,0.005013,75.0,39.6,1.0
-1.773,10.34,-7.39,1022.0,3462.0,0.0765,0.00679,0.00676,94.0,33.38,2.0
-1.146,12.33,-7.242,431.5,1900.0,0.06915,0.03552,0.006096,103.8,71.06,3.0
-1.752,10.9,-6.76,393.0,6470.0,0.04993,0.04648,0.007385,77.44,116.56,4.0
-1.256,9.836,-6.09,1180.0,3380.0,0.03604,0.0658,0.00553,13.81,30.02,0.0
-1.047,9.695,-6.03,899.5,2452.0,0.03564,0.007095,0.00977,30.86,72.56,1.0
-0.9785,9.28,-6.777,405.2,4896.0,0.0838,0.05005,0.001334,60.7,139.9,2.0
-3.014,8.93,-7.12,556.0,5020.0,0.10144,0.05234,0.01124,47.25,111.3,3.0
-1.97,10.26,-7.43,805.0,6444.0,0.01367,0.05484,0.004154,17.14,87.1,4.0
-1.0,11.875,-6.336,1078.0,1512.0,0.02036,0.0606,0.010475,51.62,45.75,0.0
-1.126,9.61,-7.812,1363.0,3486.0,0.02498,0.00674,0.01022,51.7,83.56,1.0
-2.94,10.06,-6.49,1408.0,5012.0,0.0844,0.11035,0.01124,42.28,43.06,2.0
-1.188,11.65,-6.54,499.8,4984.0,0.0209,0.0849,0.00932,72.56,44.8,3.0
-2.975,11.41,-6.473,716.0,5780.0,0.0953,0.063,0.01054,32.25,144.9,4.0
-1.893,11.79,-6.02,938.0,3218.0,0.09265,0.03418,0.006393,61.22,54.5,0.0
-0.822,8.83,-6.367,977.5,2896.0,0.03415,0.10376,0.001492,74.0,97.75,1.0
-2.217,10.6,-6.28,503.5,4404.0,0.0669,0.06885,0.010666,33.25,38.6,2.0
-1.693,8.6,-7.117,743.5,2704.0,0.09503,0.05902,0.005882,76.9,71.8,3.0
-1.263,11.07,-7.195,869.0,5412.0,0.02428,0.0621,0.011024,92.44,93.56,4.0
-1.25,10.18,-6.855,472.0,2328.0,0.06396,0.08936,0.005127,92.25,101.8,0.0
-2.377,12.47,-6.03,1492.0,2654.0,0.11816,0.0449,0.00752,30.9,23.84,1.0
-1.112,8.08,-6.777,667.0,3822.0,0.03708,0.01129,0.00526,48.25,109.4,2.0
-1.771,10.3,-7.617,989.0,2674.0,0.076,0.04578,0.00901,89.1,115.9,3.0
-1.019,10.734,-7.418,563.5,3600.0,0.0422,0.1097,0.002861,57.6,121.2,4.0
-1.291,10.19,-7.707,881.5,3870.0,0.0292,0.0732,0.01125,94.3,146.6,0.0
-1.627,11.09,-6.97,1411.0,4572.0,0.10156,0.012985,0.003136,48.28,61.03,1.0
-169.6,8.54,-7.957,1474.0,2278.0,0.007637,0.07983,0.002453,39.72,90.25,2.0
-1.632,9.39,-6.176,1044.0,2514.0,0.0736,0.043,0.0082,61.84,114.8,3.0
-1.5205,11.6,-6.363,614.0,3610.0,0.0392,0.05872,0.01268,30.05,82.9,4.0
-1.924,8.234,-7.3,1027.0,5500.0,0.04828,0.1012,0.00997,37.53,75.25,0.0
-1.721,9.47,-6.94,1058.0,1506.0,0.0863,0.0823,0.01203,14.83,73.25,1.0
-2.594,10.86,-7.656,454.2,5390.0,0.0773,0.06335,0.011566,85.5,138.1,2.0
-1.476,8.55,-7.047,477.8,1712.0,0.1125,0.0106,0.01024,32.38,38.7,3.0
-1.056,11.96,-6.723,1259.0,2530.0,0.0327,0.1192,0.00538,42.5,59.94,4.0
-1.557,10.4,-6.74,608.5,2746.0,0.1167,0.0972,0.003212,73.75,99.4,0.0
-2.826,10.4,-6.867,698.0,3986.0,0.10547,0.03925,0.01119,93.25,139.2,1.0
