like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-1.428,2.578,4490.0,1335.0,25.27,-1.991,0.0
-1.668,1.678,5572.0,837.5,21.92,-5.24,1.0
-2.027,1.557,3044.0,1411.0,22.0,-8.45,2.0
-1.789,1.488,5884.0,457.2,4.625,-4.047,3.0
-2.578,2.875,4360.0,1404.0,7.785,-2.146,4.0
-1.807,1.505,4964.0,1375.0,23.89,-3.773,0.0
-1.785,1.48,4690.0,1197.0,3.012,-4.76,1.0
-2.445,1.37,3638.0,557.0,30.92,-8.48,2.0
-1.805,1.601,4184.0,622.5,16.89,-6.168,3.0
-2.22,1.214,3798.0,382.5,2.852,-6.34,4.0
-1.759,2.623,5216.0,1164.0,17.44,-4.81,0.0
-1.908,1.723,5720.0,1054.0,33.06,-8.39,1.0
-2.402,2.732,3174.0,1139.0,1.992,-5.0,2.0
-2.584,1.045,3294.0,1434.0,30.34,-1.357,3.0
-2.154,2.412,3276.0,628.5,32.75,-3.994,4.0
-2.041,1.58,5828.0,1458.0,34.38,-4.25,0.0
-2.332,1.278,5028.0,516.5,31.12,-7.445,1.0
-1.44,2.744,4440.0,629.5,22.81,-6.45,2.0
-2.354,1.967,3534.0,512.5,35.94,-4.336,3.0
-1.582,1.96,5504.0,1246.0,13.78,-4.457,4.0
-2.049,1.854,3158.0,1435.0,26.73,-0.871,0.0
-2.244,1.06,5036.0,1310.0,27.1,-7.95,1.0
-1.6045,2.139,5160.0,395.2,11.05,-2.953,2.0
-1.611,2.346,4140.0,937.0,15.02,-9.61,3.0
-1.734,2.516,5440.0,915.0,38.75,-5.57,4.0
-1.848,1.972,3466.0,971.0,6.863,-3.676,0.0
-1.737,2.336,3534.0,1067.0,25.77,-2.734,1.0
-1.946,1.175,5380.0,781.0,6.75,-6.105,2.0
-2.258,2.115,3328.0,458.2,31.56,-5.094,3.0
-1.724,2.014,4490.0,666.5,7.957,-9.75,4.0
-2.135,1.791,3000.0,964.5,1.54,-8.76,0.0
-1.52,2.857,5870.0,998.0,38.44,-9.74,1.0
-1.476,2.65,4204.0,1490.0,30.69,-7.51,2.0
-2.506,1.143,5816.0,531.5,36.12,-5.105,3.0
-2.348,2.78,3844.0,872.5,0.0957,-8.9,4.0
-2.096,2.893,5740.0,553.0,13.57,-8.48,0.0
-1.4375,2.828,5508.0,1055.0,27.3,-0.818,1.0
-2.139,1.996,4228.0,1125.0,39.28,-2.967,2.0
-1.773,1.598,4196.0,1052.0,6.48,-4.062,3.0
-2.234,1.098,5750.0,1135.0,27.42,-6.31,4.0
-2.049,1.9,3294.0,1409.0,29.5,-2.086,0.0
-1.848,1.141,5730.0,1390.0,13.15,-1.939,1.0
-1.848,2.746,3458.0,885.0,11.31,-3.908,2.0
-1.911,1.568,4150.0,358.0,17.1,-6.195,3.0
-2.186,2.855,3228.0,348.0,32.34,-0.411,4.0
-1.993,1.066,4724.0,1284.0,3.812,-9.98,0.0
-1.778,2.385,5670.0,1470.0,17.05,-5.45,1.0
-1.73,1.831,3556.0,1145.0,19.31,-1.086,2.0
-1.984,2.268,3494.0,871.5,33.22,-8.3,3.0
-1.468,2.615,5524.0,863.0,28.39,-5.254,4.0
-1.869,2.527,4030.0,848.5,32.1,-0.3252,0.0
-1.6455,2.229,5964.0,651.0,12.21,-1.1045,1.0
-2.014,2.049,3070.0,805.5,7.684,-8.32,2.0
-1.836,2.748,4384.0,955.5,39.0,-2.002,3.0
-1.724,1.685,4628.0,555.5,17.52,-0.6445,4.0
-2.12,1.308,3974.0,346.5,13.74,-9.42,0.0
-1.863,2.803,4048.0,553.0,39.12,-7.305,1.0
-1.589,2.36,3812.0,469.5,15.484,-2.33,2.0
-1.916,2.053,3328.0,1125.0,6.926,-8.02,3.0
-1.975,1.5205,4380.0,593.0,21.33,-2.24,4.0
-2.203,2.95,4292.0,473.5,3.887,-7.26,0.0
-1.673,2.766,3360.0,1350.0,32.03,-8.8,1.0
-1.907,2.78,4696.0,1340.0,16.83,-3.455,2.0
-2.414,2.549,4640.0,1247.0,1.467,-5.473,3.0
-1.456,2.404,4428.0,1325.0,25.05,-7.375,4.0
-1.575,2.639,3716.0,783.0,17.06,-5.934,0.0
-1.732,1.303,5090.0,1463.0,12.94,-0.9834,1.0
-1.977,2.006,5710.0,685.0,33.94,-2.068,2.0
-1.802,1.504,4470.0,687.0,12.58,-4.08,3.0
-1.442,2.805,4292.0,487.2,21.95,-0.5425,4.0
-1.603,2.043,4908.0,1400.0,15.25,-9.59,0.0
-1.749,2.436,3860.0,968.5,32.75,-8.89,1.0
-2.447,1.544,4412.0,673.5,38.6,-2.72,2.0
-1.982,2.635,3918.0,756.0,6.44,-6.88,3.0
-1.863,2.053,3886.0,872.5,1.633,-1.532,4.0
-1.727,2.252,5460.0,739.0,10.63,-5.08,0.0
-1.739,2.275,4224.0,1218.0,34.75,-8.03,1.0
-1.646,2.021,4132.0,861.5,12.164,-8.734,2.0
-1.509,2.736,3836.0,1243.0,23.67,-7.305,3.0
-1.809,1.974,4604.0,1161.0,28.73,-1.716,4.0
-1.853,2.137,5028.0,476.5,1.102,-8.24,0.0
-1.693,2.08,4748.0,1026.0,29.08,-6.14,1.0
-2.26,1.308,3268.0,625.5,12.805,-0.695,2.0
-2.084,1.893,5640.0,577.0,32.97,-0.485,3.0
-2.195,1.701,5230.0,764.5,37.1,-4.332,4.0
-1.535,2.006,5456.0,957.0,14.914,-5.926,0.0
-1.865,2.545,3200.0,1235.0,30.4,-3.514,1.0
-1.882,2.102,4612.0,627.5,32.9,-8.31,2.0
-1.866,2.578,5932.0,909.5,15.25,-6.18,3.0
-2.549,1.241,5388.0,615.5,37.62,-1.576,4.0
-1.855,2.643,3618.0,468.5,29.83,-6.402,0.0
-1.681,2.023,5670.0,448.8,26.58,-7.527,1.0
-1.513,2.453,4732.0,875.0,26.78,-4.81,2.0
-1.717,2.371,3880.0,1280.0,33.4,-7.164,3.0
-2.05,1.778,3012.0,1067.0,6.363,-5.562,4.0
-1.849,1.656,3834.0,1317.0,22.64,-0.314,0.0
-2.393,1.301,5250.0,858.5,39.44,-8.33,1.0
-1.613,1.832,5430.0,1136.0,12.23,-7.535,2.0
-1.623,1.708,4840.0,1070.0,21.08,-5.016,3.0
-2.242,1.54,5700.0,1028.0,39.6,-5.49,4.0
-1.811,1.297,4188.0,1421.0,14.75,-0.851,0.0
-2.23,1.429,3240.0,578.0,16.97,-2.14,1.0
-1.514,2.676,4270.0,706.0,16.25,-1.318,2.0
-1.618,2.26,5324.0,456.0,11.4,-2.312,3.0
-2.219,2.672,5216.0,1314.0,13.56,-9.42,4.0
-1.977,2.203,5588.0,843.5,3.352,-7.816,0.0
-2.602,2.74,5816.0,984.0,3.992,-4.664,1.0
-1.545,2.553,4164.0,1059.0,18.73,-7.35,2.0
-1.685,2.568,3590.0,1287.0,29.84,-2.732,3.0
-2.123,2.979,3768.0,725.0,6.62,-3.424,4.0
-2.09,1.763,5080.0,787.0,37.9,-9.08,0.0
-2.49,2.584,5600.0,1277.0,6.547,-8.27,1.0
-1.643,2.867,4130.0,1326.0,38.7,-4.543,2.0
-1.711,2.39,3550.0,532.0,13.414,-7.805,3.0
-2.018,1.872,4584.0,908.0,34.1,-5.676,4.0
-2.086,1.531,3488.0,561.0,3.008,-8.12,0.0
-1.462,2.521,5148.0,1434.0,28.94,-7.742,1.0
-2.45,1.424,4130.0,546.5,37.44,-8.555,2.0
-1.838,1.4,5176.0,670.5,6.27,-9.76,3.0
-2.049,1.026,4570.0,1210.0,8.87,-2.955,4.0
-2.658,1.366,3082.0,1091.0,35.5,-0.1483,0.0
-1.892,1.513,3634.0,949.0,12.82,-5.773,1.0
-1.725,2.201,4776.0,1102.0,10.164,-1.947,2.0
-2.217,1.15,3594.0,1139.0,21.47,-7.32,3.0
-1.96,2.148,4308.0,1354.0,5.4,-8.664,4.0
-2.027,1.952,3060.0,1436.0,31.03,-9.695,0.0
-2.373,1.269,3076.0,505.2,8.65,-8.6,1.0
-2.145,1.666,4244.0,915.0,34.4,-8.25,2.0
-1.838,2.316,3600.0,483.8,5.305,-0.4329,3.0
-1.584,2.535,3606.0,1119.0,16.83,-2.654,4.0
-1.48,2.15,5108.0,1121.0,16.31,-0.6016,0.0
-1.525,2.334,5652.0,1427.0,31.31,-6.625,1.0
-1.716,2.475,5780.0,812.5,15.08,-4.89,2.0
-2.143,1.31,3258.0,978.0,8.38,-6.22,3.0
-1.5625,2.389,4708.0,383.8,12.56,-0.7876,4.0
-1.912,2.463,3030.0,1220.0,27.27,-2.824,0.0
-2.21,1.003,4776.0,443.2,4.59,-5.13,1.0
-1.796,1.596,4456.0,1252.0,1.849,-8.27,2.0
-2.04,2.469,3976.0,727.5,36.88,-2.055,3.0
-1.785,2.516,4930.0,1044.0,38.34,-3.553,4.0
-2.338,1.506,4890.0,1091.0,39.75,-3.861,0.0
-1.835,2.1,5972.0,1136.0,36.97,-4.875,1.0
-1.526,1.732,5616.0,968.5,16.77,-3.467,2.0
-1.903,2.348,4770.0,671.5,34.7,-2.373,3.0
-1.467,1.952,4776.0,1256.0,16.62,-0.5913,4.0
-1.849,1.649,4290.0,584.5,2.121,-0.3882,0.0
-1.746,2.559,4844.0,1172.0,14.52,-0.4888,1.0
-1.824,1.863,3792.0,398.2,11.16,-1.792,2.0
-2.023,1.109,5140.0,724.0,9.64,-9.75,3.0
-2.07,1.879,5452.0,631.5,37.97,-6.86,4.0
-2.291,1.035,4724.0,465.8,21.27,-9.49,0.0
-1.983,2.719,4464.0,1442.0,15.69,-5.336,1.0
-2.738,1.35,3046.0,767.5,37.53,-2.166,2.0
-1.557,2.285,3972.0,650.0,19.6,-9.74,3.0
-1.836,2.19,3138.0,1331.0,13.42,-8.586,4.0
-1.449,2.2,4196.0,1290.0,18.25,-0.3022,0.0
-1.685,2.408,4228.0,876.5,13.24,-9.445,1.0
-2.154,1.833,3070.0,339.8,7.992,-0.4138,2.0
-1.626,1.929,4690.0,595.0,12.36,-8.7,3.0
-2.043,1.099,5788.0,864.0,18.45,-0.268,4.0
-1.841,1.891,5830.0,1345.0,34.38,-5.27,0.0
-1.724,1.475,4950.0,1187.0,9.04,-9.266,1.0
-1.669,2.055,5120.0,786.0,10.59,-8.52,2.0
-1.443,2.777,5092.0,415.0,25.28,-5.188,3.0
-1.963,2.904,5844.0,1345.0,21.44,-7.348,4.0
-1.959,1.258,4950.0,577.0,6.945,-8.46,0.0
-2.104,1.646,4500.0,1210.0,35.84,-7.22,1.0
-1.784,2.424,5350.0,632.5,36.94,-6.215,2.0
-1.728,2.22,5748.0,851.5,35.5,-8.57,3.0
-1.595,2.686,4652.0,1490.0,35.38,-1.983,4.0
-1.777,2.291,3726.0,1104.0,31.42,-8.34,0.0
-1.8545,2.723,3724.0,1076.0,14.44,-9.98,1.0
-1.988,2.135,5684.0,1049.0,2.938,-4.85,2.0
-2.344,1.709,3268.0,773.5,31.64,-6.684,3.0
-2.371,1.5625,3222.0,990.0,32.03,-6.957,4.0
-2.006,1.99,5364.0,1476.0,1.658,-9.43,0.0
-2.035,1.341,3342.0,1242.0,5.504,-6.4,1.0
-1.68,1.733,3482.0,1436.0,15.11,-5.57,2.0
-2.299,1.405,5636.0,593.0,37.97,-9.66,3.0
-1.82,2.44,5000.0,832.5,9.66,-1.724,4.0
-1.6455,1.992,4042.0,1099.0,12.06,-7.41,0.0
-2.012,1.793,5696.0,372.8,28.73,-1.359,1.0
