like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-12.75,1.476,3202.0,724.0,19.34,-8.72,0.0
-12.05,2.137,4170.0,1474.0,31.34,-2.59,1.0
-9.59,2.46,4864.0,1464.0,9.55,-6.39,2.0
-13.2,1.39,5484.0,443.0,34.06,-2.594,3.0
-12.77,1.058,4750.0,1295.0,20.12,-0.0819,4.0
-10.68,1.673,5184.0,1286.0,4.156,-6.367,0.0
-11.73,1.519,4724.0,649.0,15.24,-9.25,1.0
-11.81,1.97,3626.0,802.5,18.33,-4.383,2.0
-11.19,1.925,5970.0,424.5,19.31,-3.36,3.0
-11.05,2.926,5690.0,583.0,34.03,-6.91,4.0
-13.57,1.069,3304.0,1413.0,33.2,-5.15,0.0
-13.58,1.136,5948.0,340.2,34.7,-0.531,1.0
-12.88,2.04,3302.0,1107.0,32.2,-1.308,2.0
-11.14,1.676,4020.0,1344.0,4.215,-0.3137,3.0
-11.11,2.293,3904.0,567.5,12.914,-0.9805,4.0
-10.03,2.38,4920.0,874.5,1.597,-4.062,0.0
-11.92,1.471,5090.0,709.0,18.69,-5.965,1.0
-11.836,1.79,3840.0,378.8,9.07,-1.199,2.0
-11.17,1.8,5676.0,1215.0,20.94,-3.604,3.0
-11.39,2.795,5492.0,1127.0,36.16,-3.145,4.0
-12.85,1.943,3822.0,737.0,31.83,-2.547,0.0
-12.375,2.592,4210.0,568.0,35.62,-2.88,1.0
-12.26,1.182,5092.0,866.5,16.97,-6.742,2.0
-10.695,1.997,4636.0,793.0,4.023,-8.81,3.0
-10.305,2.346,4904.0,564.0,2.59,-0.4717,4.0
-10.07,2.494,5224.0,419.0,10.664,-1.508,0.0
-12.47,1.052,4876.0,549.0,9.19,-9.21,1.0
-12.29,1.2295,5076.0,767.0,17.7,-5.668,2.0
-12.16,1.997,5370.0,1276.0,35.8,-4.344,3.0
-11.79,1.616,4070.0,598.5,10.46,-3.7,4.0
-12.06,1.48,3090.0,1203.0,4.12,-8.25,0.0
-10.46,2.418,3940.0,1035.0,6.875,-8.12,1.0
-10.04,2.97,4160.0,1126.0,17.66,-1.937,2.0
-10.84,2.316,3824.0,769.5,2.395,-7.082,3.0
-11.52,1.801,3248.0,1183.0,1.031,-7.477,4.0
-9.71,2.957,5130.0,337.5,4.125,-8.98,0.0
-12.52,1.619,5508.0,1045.0,30.47,-2.041,1.0
-13.016,1.274,4636.0,1332.0,35.38,-8.0,2.0
-10.336,1.943,5456.0,1019.5,11.49,-7.445,3.0
-11.375,2.95,4108.0,804.5,33.16,-9.31,4.0
-9.65,2.707,5796.0,1176.0,21.73,-7.902,0.0
-13.62,1.093,3346.0,1262.0,38.38,-9.28,1.0
-11.195,2.844,3154.0,606.0,13.39,-5.805,2.0
-11.56,1.945,4970.0,563.0,22.67,-7.402,3.0
-11.38,1.696,4014.0,1091.0,13.33,-6.195,4.0
-11.37,2.139,3086.0,1260.0,15.64,-9.45,0.0
-11.87,2.9,5372.0,359.0,35.28,-1.213,1.0
-10.94,2.713,5336.0,1406.0,36.28,-8.8,2.0
-9.93,2.686,5770.0,1409.0,25.48,-8.125,3.0
-12.9,1.685,5136.0,650.5,32.38,-0.4683,4.0
-12.12,1.748,4170.0,963.5,21.9,-1.3545,0.0
-11.43,1.816,3136.0,1451.0,11.44,-4.6,1.0
-12.445,1.497,4876.0,934.0,29.12,-9.77,2.0
-10.43,2.777,4052.0,562.5,2.914,-3.877,3.0
-10.38,2.045,4764.0,1057.0,0.05145,-4.156,4.0
-11.95,1.636,4556.0,1120.0,22.78,-4.82,0.0
-10.49,2.08,5628.0,563.5,14.875,-7.08,1.0
-13.25,1.202,5484.0,528.5,29.36,-1.223,2.0
-11.02,1.491,5630.0,1099.0,3.91,-9.09,3.0
-9.445,2.697,4820.0,1422.0,10.36,-4.258,4.0
-11.22,2.912,3248.0,803.0,19.78,-5.633,0.0
-10.98,2.646,5790.0,1105.0,33.8,-7.516,1.0
-12.39,1.422,3690.0,724.0,15.0,-3.945,2.0
-13.2,1.277,4280.0,1119.0,32.28,-3.87,3.0
-9.984,2.322,5320.0,836.5,9.516,-0.8096,4.0
-10.08,2.72,5064.0,427.8,16.14,-3.975,0.0
-13.57,1.01,4308.0,791.0,33.38,-7.21,1.0
-12.97,1.6875,3702.0,658.0,30.86,-6.496,2.0
-12.914,1.55,3042.0,944.0,21.61,-2.043,3.0
-11.84,1.911,5450.0,678.5,28.89,-8.67,4.0
-12.836,1.248,4624.0,1215.0,26.56,-3.56,0.0
-9.82,2.732,5216.0,798.5,17.16,-3.266,1.0
-10.77,2.06,4184.0,949.5,5.574,-3.191,2.0
-12.445,1.803,3946.0,1029.0,27.1,-3.178,3.0
-13.266,1.144,5336.0,1431.0,38.78,-6.164,4.0
-12.91,1.107,3278.0,687.0,4.81,-6.293,0.0
-11.41,2.732,3518.0,430.5,17.81,-2.1,1.0
-10.16,2.852,4350.0,625.5,2.309,-0.2056,2.0
-10.805,2.635,5784.0,739.0,28.38,-6.37,3.0
-11.39,2.395,3646.0,925.0,21.97,-7.145,4.0
-13.125,1.142,5480.0,882.0,29.08,-3.225,0.0
-11.88,2.586,3318.0,1394.0,31.38,-4.973,1.0
-11.99,2.396,4550.0,1094.0,39.3,-7.734,2.0
-13.0,1.149,3928.0,697.0,20.38,-5.29,3.0
-12.414,1.549,5470.0,980.5,31.33,-7.85,4.0
-11.34,1.824,3136.0,1471.0,3.842,-8.91,0.0
-11.49,1.6045,4748.0,438.5,0.3198,-5.523,1.0
-10.89,1.896,4630.0,793.5,8.266,-3.143,2.0
-12.62,2.201,3864.0,1227.0,37.38,-2.457,3.0
-12.59,1.056,5064.0,1155.0,18.23,-1.152,4.0
-11.2,2.887,5380.0,472.0,28.31,-1.072,0.0
-11.74,2.523,5140.0,1367.0,35.75,-1.799,1.0
-10.734,2.062,5384.0,546.0,16.78,-7.76,2.0
-11.66,1.774,4830.0,374.8,18.53,-7.66,3.0
-11.16,2.273,5332.0,1409.0,27.34,-2.744,4.0
-9.81,2.451,4748.0,1172.0,10.3,-7.88,0.0
-12.61,1.119,3676.0,1240.0,16.7,-7.094,1.0
-11.234,1.5205,5580.0,677.5,6.023,-6.72,2.0
-13.83,1.011,3172.0,1144.0,33.44,-3.25,3.0
-13.27,1.074,4628.0,940.5,25.56,-0.3318,4.0
-11.93,1.375,5856.0,919.5,19.7,-4.344,0.0
-10.984,2.764,3128.0,1420.0,21.83,-7.508,1.0
-13.29,1.017,3168.0,840.0,17.0,-3.938,2.0
-10.38,2.328,5908.0,514.0,18.03,-3.31,3.0
-12.22,1.74,3636.0,1119.0,23.03,-5.133,4.0
-11.69,1.596,4990.0,613.0,16.28,-3.186,0.0
-9.34,2.906,4790.0,1438.0,16.28,-4.95,1.0
-11.766,2.129,5476.0,1361.0,32.38,-3.232,2.0
-13.24,1.508,3506.0,988.5,34.8,-6.086,3.0
-9.73,2.982,4636.0,840.0,7.082,-9.43,4.0
-11.484,2.732,3972.0,1045.0,26.72,-1.217,0.0
-10.14,2.012,5080.0,1345.0,9.99,-4.86,1.0
-13.234,1.316,3120.0,783.0,21.64,-2.36,2.0
-11.92,2.332,5372.0,1179.0,32.75,-0.1555,3.0
-10.75,2.844,3526.0,693.5,4.67,-6.844,4.0
-13.516,1.221,3768.0,631.0,30.94,-4.85,0.0
-11.42,2.035,3800.0,707.0,15.76,-8.66,1.0
-11.23,1.582,5530.0,562.0,8.79,-6.195,2.0
-10.516,2.818,4790.0,1171.0,23.44,-0.2932,3.0
-10.94,1.532,5936.0,1038.0,8.74,-7.418,4.0
-13.1,1.031,3268.0,1346.0,22.11,-9.39,0.0
-11.27,1.858,4610.0,1281.0,22.56,-9.98,1.0
-11.37,2.158,5540.0,1452.0,30.58,-5.37,2.0
-12.41,1.211,4040.0,903.5,12.94,-0.7437,3.0
-12.164,2.607,3686.0,1447.0,37.4,-2.768,4.0
-11.305,2.707,4830.0,1439.0,38.06,-7.24,0.0
-13.33,1.507,3524.0,525.0,33.16,-8.414,1.0
-13.07,1.718,5076.0,329.5,35.78,-2.23,2.0
-10.19,2.414,5000.0,612.5,12.24,-1.462,3.0
-12.39,2.95,3490.0,374.0,31.98,-3.322,4.0
-10.55,2.336,4844.0,400.0,13.41,-2.807,0.0
-12.15,1.543,3492.0,678.5,6.047,-3.875,1.0
-11.38,2.771,3230.0,950.5,22.97,-8.65,2.0
-10.234,2.186,4324.0,1490.0,13.89,-4.117,3.0
-11.24,2.953,5036.0,1167.0,37.12,-4.93,4.0
-11.6,1.3125,5400.0,844.0,5.918,-9.69,0.0
-10.625,2.734,4002.0,325.8,11.36,-5.625,1.0
-11.89,1.332,5252.0,481.5,12.11,-6.887,2.0
-12.38,1.84,3404.0,1169.0,26.72,-6.78,3.0
-12.37,1.507,5468.0,1341.0,28.08,-2.688,4.0
-13.37,1.08,3584.0,1484.0,31.64,-6.402,0.0
-12.89,1.494,3534.0,401.2,21.48,-7.14,1.0
-11.13,2.549,4830.0,1124.0,30.9,-7.65,2.0
-13.04,2.174,3298.0,536.0,32.94,-3.424,3.0
-10.62,2.725,3156.0,1429.0,12.01,-1.711,4.0
-12.61,1.273,3294.0,873.0,11.95,-3.305,0.0
-12.22,1.796,4170.0,674.0,25.77,-9.76,1.0
-12.32,1.6455,4100.0,482.2,19.78,-3.967,2.0
-12.984,1.493,3970.0,1102.0,30.19,-2.762,3.0
-12.12,2.498,4576.0,808.5,35.9,-3.686,4.0
-11.89,2.768,3544.0,728.0,27.23,-3.467,0.0
