like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-5.74,1.652,5604.0,884.5,30.03,-8.4,0.0
-4.65,2.709,3976.0,845.0,22.31,-6.45,1.0
-4.254,2.045,4216.0,1296.0,1.233,-9.625,2.0
-6.566,1.979,3730.0,925.5,39.4,-2.455,3.0
-4.496,2.441,5764.0,748.5,3.494,-7.586,4.0
-5.566,2.74,5176.0,1298.0,2.303,-7.457,0.0
-5.957,2.908,4980.0,1067.0,0.04248,-8.17,1.0
-5.69,2.047,5104.0,920.0,38.6,-9.06,2.0
-5.06,1.398,3994.0,411.0,2.559,-2.994,3.0
-6.688,1.159,5510.0,1175.0,37.84,-6.38,4.0
-5.793,1.133,3484.0,1437.0,15.1,-5.16,0.0
-5.7,2.043,4820.0,1045.0,26.97,-2.787,1.0
-4.484,2.818,3494.0,926.5,21.84,-9.19,2.0
-6.26,1.537,5236.0,1127.0,34.7,-5.54,3.0
-6.285,1.904,3194.0,1437.0,28.34,-0.835,4.0
-6.047,2.664,3300.0,742.0,34.34,-3.25,0.0
-6.816,1.476,4668.0,1042.0,33.72,-0.03598,1.0
-4.84,1.404,5896.0,659.5,7.727,-2.816,2.0
-5.453,1.869,4464.0,637.5,19.75,-3.742,3.0
-4.96,1.055,5130.0,1276.0,5.29,-9.89,4.0
-6.586,1.4375,5500.0,1126.0,36.34,-3.3,0.0
-6.066,1.64,5650.0,838.5,36.9,-8.49,1.0
-7.27,1.101,3850.0,706.0,38.78,-1.078,2.0
-4.598,2.648,4136.0,375.8,10.2,-1.494,3.0
-4.8,2.807,4630.0,1300.0,21.84,-2.021,4.0
-4.387,2.014,5828.0,1459.0,8.11,-2.15,0.0
-6.914,1.129,5350.0,466.2,36.44,-4.758,1.0
-4.9,2.445,4764.0,944.0,24.16,-5.22,2.0
-6.88,1.992,3468.0,450.5,39.47,-1.34,3.0
-4.453,2.492,4948.0,998.5,8.01,-5.74,4.0
-6.645,1.27,4880.0,345.0,37.2,-9.0,0.0
-5.26,2.404,4244.0,767.0,31.03,-8.086,1.0
-4.58,2.46,4180.0,454.0,14.984,-4.57,2.0
-4.83,2.082,5812.0,779.0,24.95,-9.805,3.0
-4.582,1.696,5420.0,810.5,9.6,-3.127,4.0
-6.43,1.145,4130.0,982.0,18.27,-0.291,0.0
-6.414,1.854,3826.0,445.2,35.4,-5.582,1.0
-4.883,2.23,4904.0,1246.0,17.6,-1.684,2.0
-4.133,2.111,4356.0,1025.0,7.08,-9.484,3.0
