like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-4.754,1.193,5080.0,1077.0,2.266,-7.715,0.0
-5.65,2.328,5924.0,1192.0,19.75,-4.934,1.0
-5.145,1.566,3062.0,953.5,6.605,-4.19,2.0
-5.11,2.912,4740.0,728.5,21.47,-6.1,3.0
-4.79,2.865,5400.0,1453.0,9.92,-1.998,4.0
-6.836,2.781,3762.0,986.0,23.77,-0.7456,0.0
-2.906,2.723,3372.0,801.5,8.26,-9.65,1.0
-7.637,2.014,5110.0,996.0,38.03,-2.342,2.0
-4.95,2.668,5628.0,1124.0,14.21,-3.45,3.0
-6.934,1.517,4470.0,1463.0,30.27,-8.19,4.0
-5.28,2.639,5356.0,1028.0,16.7,-3.717,0.0
-6.332,2.549,4070.0,995.5,21.69,-2.549,1.0
-7.21,1.062,4990.0,1348.0,18.64,-5.383,2.0
-6.332,2.62,3486.0,938.0,38.38,-8.33,3.0
-7.28,1.753,5400.0,1244.0,26.58,-2.598,4.0
-5.18,1.549,3068.0,1448.0,8.06,-4.363,0.0
-8.11,1.146,4944.0,605.0,30.73,-2.035,1.0
-7.02,1.161,5016.0,390.5,18.48,-8.12,2.0
-7.19,1.629,5760.0,1443.0,36.5,-7.098,3.0
-7.188,1.94,3964.0,866.0,22.95,-1.839,4.0
-6.617,2.523,5600.0,906.5,23.27,-1.912,0.0
-5.52,2.256,3852.0,568.0,12.0,-3.021,1.0
-7.152,2.018,4156.0,718.5,38.12,-6.594,2.0
-7.656,2.045,3012.0,1106.0,31.23,-1.123,3.0
-7.133,2.98,5624.0,673.0,36.78,-2.074,4.0
-8.23,1.321,3056.0,540.0,37.75,-2.521,0.0
-5.734,1.291,3802.0,549.5,5.652,-4.047,1.0
-6.137,2.432,4276.0,842.0,30.8,-7.71,2.0
-5.87,2.953,4668.0,1215.0,32.12,-6.03,3.0
-3.258,2.01,3850.0,875.0,2.25,-5.75,4.0
-7.203,1.769,5644.0,1461.0,24.7,-2.217,0.0
-6.465,2.814,4504.0,694.5,35.6,-5.855,1.0
-6.684,1.876,4524.0,433.8,16.88,-2.81,2.0
-7.19,1.601,3016.0,1088.0,21.95,-3.256,3.0
-8.414,1.239,3374.0,331.8,36.34,-0.586,4.0
-4.69,2.883,5040.0,357.8,12.67,-3.848,0.0
-7.543,2.89,4244.0,347.0,32.94,-0.4958,1.0
-4.97,2.521,4372.0,1402.0,24.55,-9.55,2.0
-3.988,2.934,4540.0,1143.0,20.4,-9.65,3.0
-4.746,1.264,4730.0,1494.0,1.344,-3.484,4.0
-5.44,1.055,5828.0,1021.0,1.045,-2.986,0.0
-3.658,1.726,4804.0,1341.0,6.16,-9.59,1.0
-7.785,1.297,4560.0,342.5,33.97,-6.04,2.0
-3.254,2.553,4820.0,1227.0,1.507,-7.73,3.0
-6.78,1.66,4038.0,1083.0,28.11,-7.71,4.0
-6.24,2.746,5260.0,1369.0,32.28,-5.082,0.0
-7.246,2.648,3742.0,406.8,25.11,-0.875,1.0
-7.406,1.648,3032.0,1038.0,25.7,-3.088,2.0
-6.76,2.688,3838.0,503.2,30.94,-4.38,3.0
-5.496,1.017,5984.0,1391.0,1.999,-3.719,4.0
-6.38,1.112,4452.0,1494.0,12.69,-7.086,0.0
-4.05,1.663,3300.0,819.5,1.215,-4.72,1.0
-6.41,2.521,4380.0,346.2,35.06,-8.695,2.0
-4.445,2.754,4170.0,732.0,6.688,-1.65,3.0
-5.945,1.866,3778.0,550.5,7.883,-0.1913,4.0
-5.555,2.629,5628.0,1190.0,13.48,-1.241,0.0
-6.78,1.697,5576.0,555.0,27.47,-7.875,1.0
-7.38,1.07,3982.0,1346.0,27.4,-8.664,2.0
-5.598,1.822,5292.0,406.5,15.27,-7.945,3.0
-6.836,2.564,4650.0,672.0,21.14,-0.7573,4.0
-4.484,2.656,4020.0,600.0,15.92,-7.707,0.0
-7.91,1.07,5976.0,713.5,19.67,-0.5894,1.0
-4.03,1.771,5572.0,640.0,6.65,-8.08,2.0
-7.555,1.457,5170.0,427.0,37.38,-7.49,3.0
-5.984,2.906,5836.0,1201.0,38.53,-7.617,4.0
-3.293,1.698,5856.0,1350.0,2.043,-7.52,0.0
-6.008,2.137,4960.0,342.2,23.62,-8.51,1.0
-7.51,1.184,5130.0,1481.0,28.6,-5.78,2.0
-5.21,1.3545,4830.0,1086.0,8.67,-8.08,3.0
-6.9,2.14,4150.0,1350.0,33.9,-5.1,4.0
-6.836,1.686,5060.0,464.5,23.81,-6.305,0.0
-7.168,2.422,5724.0,343.0,34.66,-3.684,1.0
-6.082,2.965,4892.0,931.0,24.69,-3.09,2.0
-7.668,2.508,3552.0,800.0,31.89,-0.1216,3.0
-5.547,1.758,3914.0,1497.0,8.79,-1.484,4.0
-7.36,1.965,3906.0,627.5,21.73,-0.956,0.0
-5.957,2.924,4524.0,1164.0,33.5,-6.29,1.0
-5.188,2.031,4436.0,437.0,10.65,-4.656,2.0
-3.463,2.64,4350.0,734.5,9.766,-7.22,3.0
-4.523,2.232,5550.0,475.0,11.93,-6.816,4.0
-7.715,1.993,3630.0,683.0,39.8,-3.312,0.0
-7.246,1.471,4550.0,1141.0,24.4,-4.07,1.0
-4.008,2.639,5780.0,1273.0,5.797,-3.895,2.0
-6.8,1.929,5010.0,711.5,32.7,-7.676,3.0
-3.213,2.035,3252.0,759.0,3.861,-9.22,4.0
-4.13,1.568,3798.0,716.5,1.444,-5.81,0.0
-6.535,2.773,5724.0,1131.0,35.62,-4.676,1.0
-7.1,1.845,3920.0,1269.0,39.44,-7.406,2.0
-4.984,2.031,5380.0,916.0,6.668,-0.977,3.0
-5.285,1.428,5292.0,588.5,3.047,-0.932,4.0
-7.082,1.695,4424.0,445.8,29.97,-7.49,0.0
-7.023,1.937,3368.0,785.5,27.58,-4.965,1.0
-3.055,2.988,4656.0,408.8,6.75,-7.4,2.0
-3.928,2.46,3704.0,810.0,10.33,-6.555,3.0
-7.68,1.984,5204.0,630.0,38.9,-2.861,4.0
-5.707,2.82,4810.0,901.0,35.4,-9.24,0.0
-6.387,2.658,5516.0,1230.0,30.36,-4.266,1.0
-4.09,1.7295,3530.0,342.5,3.307,-9.83,2.0
-6.61,1.539,5732.0,1329.0,20.92,-5.863,3.0
-7.17,2.023,4170.0,935.5,39.72,-6.297,4.0
