like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-2.559,2.71,3264.0,1336.0,31.95,-4.992,0.0
-2.502,2.453,4268.0,717.0,30.6,-6.297,1.0
-2.848,1.097,4016.0,1211.0,15.71,-3.867,2.0
-2.19,2.28,5444.0,668.5,21.84,-6.46,3.0
-2.191,2.408,4740.0,379.8,12.7,-8.39,4.0
-2.475,1.574,5690.0,1371.0,21.2,-1.543,0.0
-2.504,2.084,3522.0,760.5,3.285,-9.07,1.0
-2.475,1.1875,5490.0,1030.0,5.758,-8.516,2.0
-2.215,2.998,4596.0,1220.0,27.42,-3.092,3.0
-2.426,1.639,3408.0,1468.0,4.797,-9.88,4.0
-2.121,2.133,5384.0,1249.0,19.58,-9.83,0.0
-2.498,2.893,4204.0,635.5,28.73,-0.8784,1.0
-2.834,1.675,5000.0,1300.0,30.81,-1.534,2.0
-2.363,1.964,3810.0,1329.0,22.78,-8.945,3.0
-2.3,2.271,4054.0,1129.0,11.63,-3.33,4.0
-2.816,1.171,4500.0,715.0,15.266,-5.37,0.0
-2.445,1.241,5244.0,1344.0,10.01,-2.459,1.0
-2.729,2.13,3198.0,343.0,15.52,-4.65,2.0
-2.822,1.616,4624.0,696.0,24.36,-1.602,3.0
-2.3,2.691,4244.0,841.5,25.73,-4.26,4.0
-2.643,2.773,5548.0,745.5,38.25,-0.527,0.0
-2.408,1.584,4046.0,1082.0,3.3,-1.094,1.0
-3.078,2.912,5508.0,1186.0,7.83,-3.162,2.0
-3.549,1.152,3326.0,502.8,35.88,-6.453,3.0
-2.303,1.577,4660.0,954.5,6.918,-9.64,4.0
-2.273,2.701,5736.0,374.5,29.8,-6.312,0.0
-2.615,1.744,3600.0,392.0,9.29,-9.17,1.0
-3.176,1.168,5676.0,636.5,31.27,-5.277,2.0
-2.531,1.49,3448.0,1331.0,2.17,-1.279,3.0
-2.691,2.344,4868.0,648.0,31.44,-0.898,4.0
-2.56,1.23,4788.0,835.0,7.074,-7.74,0.0
-3.135,1.372,5692.0,1206.0,36.88,-2.684,1.0
-2.715,1.584,3034.0,1139.0,1.98,-1.646,2.0
-2.428,1.342,4564.0,1286.0,12.68,-7.684,3.0
-2.2,1.889,5750.0,1439.0,5.562,-6.4,4.0
-2.541,2.814,4630.0,402.5,36.6,-6.1,0.0
-2.525,2.447,3252.0,1384.0,12.56,-1.412,1.0
-3.242,1.276,5148.0,943.5,39.75,-6.027,2.0
-2.584,1.751,3298.0,1017.0,13.93,-6.58,3.0
-2.979,2.205,3614.0,669.0,39.3,-7.766,4.0
-3.275,2.74,5868.0,1443.0,0.0705,-2.516,0.0
-3.285,1.664,3412.0,1060.0,35.72,-0.701,1.0
-2.469,2.854,5652.0,1027.0,17.42,-4.55,2.0
-2.69,1.244,4416.0,1080.0,16.42,-4.875,3.0
-2.73,2.676,3166.0,555.0,23.88,-2.926,4.0
-2.244,2.297,5270.0,1180.0,13.24,-3.256,0.0
-2.479,2.06,3208.0,1306.0,10.19,-5.996,1.0
-3.13,1.319,5624.0,653.5,33.5,-4.832,2.0
-2.309,2.29,4696.0,500.0,3.3,-5.164,3.0
-2.373,2.225,4650.0,824.5,21.1,-0.4346,4.0
-2.273,2.578,4036.0,738.0,22.98,-7.754,0.0
-2.412,2.652,4304.0,1434.0,15.84,-5.8,1.0
-2.215,2.416,5776.0,735.5,22.31,-3.404,2.0
-2.959,2.936,5956.0,1170.0,12.31,-6.215,3.0
-2.266,2.375,5176.0,1217.0,13.97,-4.496,4.0
-2.807,2.318,4078.0,557.0,38.16,-8.164,0.0
-3.232,1.096,5104.0,1012.0,37.06,-9.9,1.0
-2.285,2.984,3808.0,1142.0,26.58,-4.93,2.0
-2.48,2.592,4000.0,598.0,5.305,-9.41,3.0
-2.883,1.136,4870.0,754.5,18.16,-3.61,4.0
-2.572,2.215,4960.0,605.5,32.6,-7.082,0.0
-2.88,1.931,3648.0,527.5,24.44,-2.512,1.0
-3.05,1.465,3582.0,1154.0,26.89,-2.305,2.0
-2.197,2.867,4292.0,932.0,22.97,-7.45,3.0
-2.473,1.219,5908.0,751.0,2.252,-8.13,4.0
-2.434,2.525,4088.0,570.0,5.41,-9.85,0.0
-2.182,2.676,4830.0,587.5,25.95,-9.54,1.0
-2.814,1.486,4336.0,1344.0,30.11,-7.74,2.0
-3.037,2.639,3262.0,360.5,32.84,-2.436,3.0
-2.805,1.502,3290.0,865.5,12.914,-2.41,4.0
-2.445,1.709,3612.0,1203.0,10.99,-2.523,0.0
-2.889,1.688,4006.0,958.0,33.34,-9.56,1.0
-2.66,2.592,3394.0,1260.0,9.08,-7.668,2.0
-3.127,1.042,5524.0,1315.0,27.11,-2.285,3.0
-2.393,1.813,3826.0,972.0,9.25,-3.203,4.0
-2.596,2.193,3586.0,725.0,24.3,-7.02,0.0
-2.469,2.574,5976.0,412.2,4.855,-6.53,1.0
-2.467,2.834,4348.0,1230.0,34.97,-1.951,2.0
-2.373,1.908,5800.0,1350.0,25.42,-3.654,3.0
-2.287,2.633,4740.0,757.0,30.16,-7.9,4.0
-2.229,1.86,5784.0,919.5,1.476,-2.037,0.0
-3.168,2.94,3620.0,1097.0,0.4517,-7.51,1.0
-2.322,2.312,4572.0,845.5,23.39,-3.508,2.0
-2.965,1.117,4164.0,696.0,13.63,-0.0991,3.0
-3.053,1.362,4160.0,968.5,29.94,-6.504,4.0
-2.855,1.465,3008.0,1345.0,18.61,-3.916,0.0
-2.223,2.512,3908.0,1382.0,25.66,-9.07,1.0
-2.855,2.822,5228.0,1249.0,10.0,-2.885,2.0
-3.107,1.362,4468.0,1465.0,38.12,-5.895,3.0
-2.832,2.42,4110.0,666.0,32.03,-0.1849,4.0
-2.61,2.715,3910.0,745.0,30.42,-2.014,0.0
-2.436,1.254,5540.0,917.5,1.0,-8.19,1.0
-2.451,2.25,4816.0,571.5,28.52,-7.39,2.0
-2.836,1.083,3282.0,1289.0,3.664,-9.14,3.0
-2.32,2.494,4324.0,376.5,7.03,-2.328,4.0
-2.8,2.957,5670.0,995.5,12.28,-1.248,0.0
-2.574,1.655,3132.0,1336.0,3.082,-4.332,1.0
-2.334,2.188,3896.0,1057.0,22.31,-7.78,2.0
-3.428,2.984,5870.0,1341.0,5.9,-3.746,3.0
-3.068,2.824,5480.0,1205.0,6.074,-6.754,4.0
-2.69,1.458,4704.0,1095.0,24.61,-7.355,0.0
-2.143,2.39,5820.0,644.0,17.9,-8.46,1.0
-2.512,1.422,5400.0,1464.0,20.9,-3.812,2.0
-2.465,1.375,4430.0,948.5,1.485,-8.27,3.0
-2.248,1.887,5264.0,950.0,1.194,-7.4,4.0
-2.361,1.464,5070.0,789.5,3.62,-4.48,0.0
-2.863,1.27,4748.0,1376.0,24.73,-3.314,1.0
-2.672,1.464,5068.0,410.5,18.84,-4.355,2.0
-3.053,2.58,3206.0,1004.5,36.94,-0.0683,3.0
-2.912,1.59,3434.0,612.5,17.38,-0.8345,4.0
-2.828,1.354,3470.0,568.5,6.707,-8.89,0.0
-2.975,1.218,3848.0,1474.0,26.47,-6.52,1.0
-2.29,2.436,5876.0,947.5,31.1,-6.46,2.0
-2.674,1.9795,3874.0,327.0,21.83,-5.95,3.0
-3.086,1.656,3018.0,978.0,26.17,-5.02,4.0
-3.176,1.215,5304.0,1474.0,32.12,-0.3171,0.0
-3.123,2.662,5444.0,1439.0,1.027,-8.77,1.0
-2.645,1.511,3268.0,1179.0,14.28,-9.92,2.0
-2.629,1.475,5944.0,1496.0,29.12,-8.64,3.0
-2.422,1.492,4176.0,1045.0,0.5234,-6.38,4.0
-3.568,1.271,3650.0,503.8,39.2,-1.701,0.0
-2.387,2.918,3350.0,1461.0,26.69,-3.582,1.0
-2.531,1.394,5452.0,592.5,12.8,-1.787,2.0
-2.738,1.849,5784.0,848.0,28.7,-0.506,3.0
-2.838,1.08,3712.0,995.5,3.926,-4.84,4.0
-2.33,1.66,5600.0,1469.0,24.05,-9.51,0.0
-2.633,2.213,5836.0,969.0,39.9,-6.168,1.0
-2.566,1.816,3560.0,531.0,6.605,-4.41,2.0
-2.701,2.932,5588.0,963.5,13.07,-2.92,3.0
-2.87,2.592,3188.0,1375.0,37.9,-1.779,4.0
-2.936,1.788,3182.0,1011.5,26.31,-5.5,0.0
-2.262,2.521,4284.0,1004.0,15.47,-9.26,1.0
-2.668,1.592,3718.0,1205.0,18.47,-0.44,2.0
-2.86,1.357,3352.0,583.0,0.5254,-6.18,3.0
-2.367,1.442,5196.0,780.5,0.1981,-9.65,4.0
