like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-7.64,1.728,4860.0,549.5,13.77,-2.516,0.0
-5.094,2.643,3568.0,1229.0,5.152,-7.223,1.0
-7.04,1.525,5040.0,1242.0,4.582,-5.445,2.0
-8.11,2.8,4228.0,993.5,32.3,-3.355,3.0
-9.47,1.258,4852.0,844.5,23.7,-7.812,4.0
-6.773,2.959,5810.0,1210.0,21.5,-0.5044,0.0
-7.47,1.434,3020.0,992.5,2.078,-2.527,1.0
-7.28,1.581,5790.0,337.2,0.6904,-7.51,2.0
-8.41,1.902,4776.0,680.0,26.02,-8.8,3.0
-6.74,2.846,4046.0,951.5,21.8,-2.543,4.0
-7.832,1.314,5976.0,1199.0,7.68,-2.613,0.0
-5.312,2.91,3460.0,690.0,13.56,-4.105,1.0
-7.164,1.9,5628.0,553.5,16.16,-8.414,2.0
-5.625,2.168,5850.0,1382.0,0.5527,-9.25,3.0
-9.56,1.112,4076.0,486.5,15.914,-1.837,4.0
-9.375,1.95,5136.0,577.5,36.28,-6.87,0.0
-10.125,1.544,3594.0,525.0,33.2,-4.21,1.0
-9.766,1.586,3364.0,1157.0,26.97,-0.0178,2.0
-6.45,2.97,5850.0,1435.0,27.62,-8.94,3.0
-10.555,1.186,4084.0,383.0,31.5,-4.414,4.0
-7.133,2.236,4068.0,664.0,16.77,-1.784,0.0
-9.15,1.074,3812.0,1200.0,16.9,-8.45,1.0
-9.47,1.99,3126.0,901.0,29.6,-0.4824,2.0
-8.195,2.2,5256.0,1338.0,27.02,-4.363,3.0
-8.75,2.402,5770.0,1380.0,29.45,-0.361,4.0
-7.457,2.29,5500.0,1423.0,20.61,-1.687,0.0
-9.01,1.003,5130.0,361.5,1.817,-3.754,1.0
-9.484,1.69,5730.0,478.0,33.66,-8.46,2.0
-10.305,1.045,3574.0,864.5,25.52,-3.79,3.0
-4.953,2.719,3762.0,1108.0,8.195,-9.11,4.0
-5.24,2.793,5164.0,1402.0,3.357,-7.89,0.0
-6.586,2.674,4444.0,1500.0,18.08,-0.03403,1.0
-8.03,2.459,5304.0,1271.0,34.8,-9.1,2.0
-7.14,2.764,5156.0,1437.0,27.16,-5.45,3.0
-7.83,2.295,4080.0,509.5,25.34,-8.71,4.0
-6.855,1.661,3436.0,898.5,5.414,-6.66,0.0
-10.31,1.399,4496.0,1392.0,39.25,-4.668,1.0
-5.348,2.438,4380.0,1120.0,1.662,-6.79,2.0
-5.277,2.736,3362.0,1334.0,16.77,-9.914,3.0
-7.77,2.316,5700.0,1206.0,26.22,-5.473,4.0
-10.21,1.013,3706.0,378.8,20.7,-4.63,0.0
-5.62,2.414,5900.0,449.8,3.707,-0.784,1.0
-7.97,2.19,3068.0,725.5,21.27,-3.06,2.0
-6.195,1.83,4508.0,1489.0,4.62,-8.43,3.0
-8.95,1.288,3362.0,730.5,17.02,-5.82,4.0
-8.64,2.12,4132.0,808.5,24.34,-0.867,0.0
-7.543,2.838,4700.0,712.5,26.8,-3.258,1.0
-9.48,1.006,3812.0,1239.0,16.23,-3.365,2.0
-5.086,2.787,3922.0,780.5,6.242,-5.816,3.0
-8.164,2.08,3242.0,1307.0,26.0,-5.555,4.0
-8.75,2.455,3582.0,808.5,31.19,-2.377,0.0
-6.742,2.146,3816.0,1067.0,15.73,-2.59,1.0
-6.973,2.926,5436.0,852.0,24.62,-3.25,2.0
-9.88,1.615,4172.0,1480.0,35.1,-3.672,3.0
-9.75,1.211,3820.0,943.0,21.84,-2.357,4.0
-10.4,1.185,4160.0,645.0,35.56,-8.23,0.0
-9.5,1.718,4724.0,1397.0,38.72,-8.875,1.0
-6.09,1.95,5040.0,1379.0,8.09,-3.447,2.0
-7.844,2.709,4110.0,1033.0,27.55,-2.242,3.0
-8.05,2.174,3494.0,819.5,23.16,-3.744,4.0
-8.52,2.14,4944.0,637.5,26.11,-3.611,0.0
-8.49,1.275,4560.0,781.5,13.31,-4.26,1.0
-6.36,1.832,3530.0,1103.0,0.1941,-1.554,2.0
-10.25,1.384,5724.0,984.0,36.0,-4.242,3.0
-7.324,2.611,4690.0,888.0,28.28,-8.23,4.0
-7.29,2.758,4404.0,621.5,28.55,-8.65,0.0
-9.586,1.009,4960.0,361.2,14.18,-2.84,1.0
-7.3,2.197,5076.0,519.0,17.81,-3.045,2.0
-7.33,1.705,5020.0,1214.0,16.23,-9.17,3.0
-8.97,1.164,5644.0,328.0,11.73,-1.468,4.0
-8.58,1.78,4984.0,1171.0,25.61,-6.57,0.0
-9.6,1.647,3024.0,427.0,25.6,-4.332,1.0
-9.15,1.132,3742.0,709.0,15.39,-5.766,2.0
-9.56,1.288,3464.0,1047.0,20.8,-1.125,3.0
-8.45,2.836,3030.0,342.0,36.5,-9.61,4.0
-5.242,2.57,3028.0,855.5,10.66,-8.03,0.0
-8.39,1.854,4492.0,883.5,22.48,-4.207,1.0
-6.484,2.432,4620.0,364.8,15.76,-5.01,2.0
-6.965,2.668,3578.0,998.5,24.31,-5.844,3.0
-6.98,2.938,3232.0,929.0,26.16,-5.08,4.0
-7.5,2.477,5532.0,890.5,25.31,-5.12,0.0
-5.652,2.363,3784.0,630.5,4.78,-3.926,1.0
-8.17,2.164,4980.0,471.0,23.78,-4.785,2.0
-8.55,2.506,3846.0,375.5,29.66,-4.79,3.0
-6.426,2.055,3932.0,433.2,1.256,-2.395,4.0
-8.016,1.5625,3460.0,675.5,13.11,-2.133,0.0
-5.44,2.373,5988.0,814.0,10.72,-5.688,1.0
-9.58,1.774,5596.0,1244.0,39.75,-7.59,2.0
-5.62,2.176,4260.0,1437.0,5.305,-1.999,3.0
-9.805,1.66,5024.0,795.0,27.89,-0.02107,4.0
-9.55,1.458,3730.0,1245.0,25.14,-2.246,0.0
-7.863,1.329,4510.0,709.5,2.383,-2.416,1.0
-7.81,2.4,3954.0,761.5,26.7,-6.477,2.0
-9.31,2.268,5324.0,853.0,37.38,-3.053,3.0
-5.438,2.469,3898.0,1041.0,0.3296,-9.63,4.0
-8.95,1.813,5330.0,1195.0,28.88,-5.363,0.0
-6.242,1.874,3954.0,1063.0,1.118,-2.812,1.0
-7.766,1.269,4876.0,1268.0,3.096,-7.914,2.0
-9.97,1.579,4590.0,1483.0,32.72,-1.87,3.0
-7.953,2.75,5060.0,689.5,32.44,-5.887,4.0
-8.47,2.408,5640.0,1488.0,38.94,-8.74,0.0
-7.16,2.33,5270.0,1044.0,21.86,-5.453,1.0
-5.273,2.943,3386.0,784.0,4.13,-7.043,2.0
-5.465,2.9,5068.0,1084.0,18.31,-6.84,3.0
-5.445,2.232,5536.0,1088.0,5.316,-9.95,4.0
-9.58,1.512,4788.0,1355.0,26.03,-1.698,0.0
-7.516,2.191,5750.0,1197.0,18.9,-0.432,1.0
