like1,parLUE_max,parVPD_max,parVPD_min,parT_max,parT_min,chain
-5.05,2.99,4370.0,867.0,4.938,-8.61,0.0
-5.438,2.434,3500.0,862.0,0.5063,-6.46,1.0
-5.086,2.328,3556.0,1123.0,8.625,-4.12,2.0
-7.49,1.495,4628.0,515.0,3.97,-5.41,3.0
-8.93,2.373,5788.0,1090.0,34.3,-0.7334,4.0
-5.504,2.775,3312.0,579.5,1.361,-8.26,0.0
-4.535,2.88,5420.0,617.5,12.01,-3.19,1.0
-7.594,1.513,4500.0,397.5,0.642,-1.327,2.0
-8.24,1.28,3300.0,864.0,11.164,-6.49,3.0
-8.66,1.119,3038.0,1289.0,10.336,-1.648,4.0
-9.09,1.492,3446.0,1234.0,22.08,-1.01,0.0
-8.56,2.04,5130.0,360.2,25.39,-2.906,1.0
-6.57,2.43,5212.0,821.0,24.22,-9.42,2.0
-7.598,1.492,3548.0,617.0,4.527,-7.53,3.0
-10.39,1.305,3534.0,745.5,37.06,-8.12,4.0
-9.36,1.033,3238.0,485.5,7.766,-1.436,0.0
-6.883,1.904,3032.0,835.5,15.484,-8.14,1.0
-9.42,2.557,4004.0,413.8,39.0,-1.948,2.0
-7.453,1.418,3902.0,1459.0,9.84,-4.477,3.0
-5.242,2.584,3632.0,593.5,11.984,-3.576,4.0
-5.027,2.857,3728.0,948.0,2.717,-1.788,0.0
-9.99,1.0205,3622.0,818.5,20.3,-3.6,1.0
-4.633,2.94,5544.0,1263.0,7.758,-4.152,2.0
-7.566,1.592,4824.0,624.0,11.9,-0.0769,3.0
-7.906,2.48,4708.0,1462.0,33.84,-6.133,4.0
-10.61,1.122,3388.0,855.0,29.56,-2.428,0.0
-7.668,2.041,4616.0,957.0,22.77,-3.809,1.0
-8.61,1.128,4250.0,1058.0,12.49,-7.96,2.0
-7.523,1.919,5892.0,607.5,19.03,-2.846,3.0
-8.25,2.242,5884.0,584.5,24.83,-0.0141,4.0
-7.496,1.404,4990.0,810.5,1.024,-7.617,0.0
-8.555,2.139,5196.0,1037.0,28.14,-1.211,1.0
-8.93,1.598,4480.0,1118.0,23.78,-2.271,2.0
-9.1,2.055,3620.0,383.0,33.34,-8.59,3.0
-9.01,2.379,5172.0,421.5,35.22,-3.172,4.0
-9.92,1.924,5850.0,921.5,36.84,-0.146,0.0
-8.92,1.637,5410.0,1059.0,22.97,-0.3264,1.0
-9.71,1.762,5544.0,583.5,34.56,-3.922,2.0
-9.6,1.803,5508.0,381.8,34.1,-5.145,3.0
-9.48,1.054,5188.0,394.0,13.87,-0.8223,4.0
-4.773,2.723,3968.0,692.5,11.56,-4.574,0.0
-9.45,2.34,3070.0,511.2,38.22,-4.49,1.0
-8.57,1.308,4610.0,1155.0,16.55,-3.094,2.0
-8.69,1.666,3168.0,1379.0,24.36,-4.39,3.0
-8.74,1.104,5210.0,1145.0,13.65,-6.992,4.0
-7.77,2.102,3048.0,377.5,20.61,-9.37,0.0
-8.61,1.846,5852.0,1250.0,25.39,-1.784,1.0
-7.188,2.443,5972.0,741.5,27.31,-7.402,2.0
-5.664,2.096,5810.0,615.0,4.777,-9.25,3.0
-6.223,1.771,5204.0,1283.0,1.852,-7.387,4.0
-6.75,1.628,5556.0,1010.5,6.945,-0.576,0.0
-6.562,1.731,3128.0,1117.0,7.266,-2.812,1.0
-8.51,2.469,5016.0,804.0,35.47,-4.266,2.0
-9.28,1.727,3604.0,1126.0,27.06,-0.935,3.0
-6.867,2.648,3062.0,1395.0,26.67,-5.543,4.0
-6.023,1.986,3584.0,1412.0,11.92,-2.635,0.0
-7.492,1.36,4430.0,1308.0,0.1416,-1.709,1.0
-7.387,2.627,4620.0,326.5,23.81,-2.484,2.0
-6.918,1.528,4668.0,1411.0,3.885,-3.002,3.0
-4.914,2.42,5540.0,1039.0,4.312,-0.767,4.0
-5.617,2.06,3624.0,1174.0,9.39,-6.008,0.0
-5.93,1.925,4244.0,1109.0,8.98,-3.758,1.0
